review_text,date,rating,language_style,has_slang,slang_count,label,word_count,length_type,char_count,avg_word_len,exclamation_count,question_count,uppercase_ratio,unique_word_ratio,language_enc,length_enc
Lalitpur ma baseko tyo hotel ma bed bugs thyo. TOTAL DISGUSTING experience. Maile complain garda manager le uile tharkayo. Staff haru ko bolne tarika ekdamai ghatiya thyo. Don't go there ever if you care health.,2026-02-02,1,code_mixed,1.0,1.0,1,35,medium,211,6.0285714285714285,0,0,0.09004739336492891,0.9428571428571428,0,1
Aaja ko flight thikai thyo ✈️. Reached on time and the staff were professional enough for a domestic trip. Nothing special but not bad either for the price we paid for the tickets ⭐.,2026-02-18,3,code_mixed,0.0,0.0,1,34,medium,182,5.352941176470588,0,0,0.016483516483516484,0.8823529411764706,0,1
fits perfectly!! thank you 😄😄,30 Jan 2024,5,english,0.0,0.0,0,5,very_short,29,5.8,2,0,0.0,1.0,1,3
"Great purchase, service dherai helpful, product pani authentic, I'm a fan now!",2023-05-11,5,code_mixed,0.0,0.0,1,12,short,78,6.5,1,0,0.02564102564102564,1.0,0,2
"Hait, Baneshwor area momo stall vendor shop outlet eatery joint serves divinely heavenly celestially ethereally transcendently sublimely exquisitely remarkably extraordinarily exceptionally outstandingly brilliantly marvelously splendidly superbly excellently superiorly supremely ultimately finest best greatest tastiest most delicious most flavorful most savory most scrumptious most delectable most mouth watering most appetizing most tempting most enticing most irresistible most addictive momo dumplings snacks appetizers starters in entire whole complete total full comprehensive absolute universe world cosmos galaxy planet earth Nepal Kathmandu valley region area, filling stuffing inside content mixture combination blend was perfectly ideally optimally exemplarily seasoned spiced marinated flavored balanced harmonious proportionate appropriate suitable, wrapper covering skin dough shell exterior was thin delicate soft tender smooth silky texture consistency, steaming cooking preparation technique method style approach was traditional authentic genuine original real proper correct, jhol soup broth sauce gravy liquid accompaniment was spicy tangy savory flavorful aromatic fragrant pungent zesty rich deep intense concentrated complex layered multidimensional sophisticated, portion size quantity was generous",2024-07-08,5,code_mixed,0.0,0.0,1,161,long,1325,8.229813664596273,0,0,0.0030188679245283017,0.8944099378881988,0,0
"Product purchase garnu ma I'm fully happy, thik cha, no issues.",2023-10-28,5,code_mixed,0.0,0.0,1,11,short,63,5.7272727272727275,0,0,0.031746031746031744,1.0,0,2
jasto khojeko ustai paiyo thanks love it,13-Mar-25,5,code_mixed,0.0,0.0,0,7,very_short,40,5.714285714285714,0,0,0.0,1.0,0,3
"yo cab service ekdam dami, driver pani ramro, best best ride of my life!!!",2024-09-09,5,romanized_nepali,1.0,2.0,1,14,short,74,5.285714285714286,3,0,0.0,0.9285714285714286,2,2
better than expected,04 Nov 2024,5,english,0.0,0.0,0,3,very_short,20,6.666666666666667,0,0,0.0,1.0,1,3
Don't buy this product: 1. Battery Sath ma aaudaina 2. Charger/connecter pani xaina sabai kinnu parxa xuttai. 3. 10kg hoina 2kg vanda mathi jokhna mildaina 4. battery kinera halda battery bata chalena 5. Accurate xaina 1 kg jokhda 100 gram farak aauxa 6. 2kg jokhda 200 gram farak aauxa. 7. Digit haru clear dekhidaina. 8. 4inch x 4inch ko saman xa. 9. aafai nivne aafai on hune hunxa. 10. bachha haru lai khelauna chainxa vane magauda guna.,05 Mar 2025,1,code_mixed,0.0,0.0,0,77,long,441,5.7272727272727275,0,0,0.013605442176870748,0.8831168831168831,0,0
Good packaging and good product. 4 ota order gareko tara pani free gift chai paena 😅. Only handwash. Ki tei nai gift ho 😂.,6-Jul-25,5,code_mixed,0.0,0.0,0,24,short,122,5.083333333333333,0,0,0.02459016393442623,0.9583333333333334,0,2
ramro cha,20 May 2025,4,romanized_nepali,0.0,0.0,0,2,very_short,9,4.5,0,0,0.0,1.0,2,3
"Yeh salon ka service time pani accurate cha, I really appreciate it.",2022-11-11,3,code_mixed,0.0,0.0,1,12,short,68,5.666666666666667,0,0,0.029411764705882353,1.0,0,2
"This hair salon is the best in town and I am so happy with my new haircut! 💇 The stylists are truly professional and they listen to exactly what you want before starting the work. ✨ The ambiance is very relaxing and they even give you a complimentary head massage which was amazing. ⭐ I have been a regular customer for a year now and the quality of service has always been consistent. 🙏 If you want a fresh look, this is the only place to go! ✨ ⭐ 🙏",2026-02-18,5,english,0.0,0.0,1,90,long,449,4.988888888888889,2,0,0.013363028953229399,0.7555555555555555,1,0
Not much hydrate and thorai whitening dher basne  ,26-Dec-25,3,code_mixed,0.0,0.0,0,8,very_short,50,6.25,0,0,0.02,1.0,0,3
"Ani, checked stayed lodged resided inhabited occupied booked reserved confirmed guaranteed premium luxury five star deluxe suite accommodation lodging housing residence dwelling at internationally acclaimed globally recognized universally praised award winning certified hotel property establishment and every single aspect element component feature characteristic attribute detail facet dimension perspective angle exceeded surpassed outperformed transcended expectations anticipations hopes dreams imagination wildest fantasies, room suite chamber quarters space area was palatial enormous gigantic vast expansive massive huge colossal immense tremendous spacious roomy comfortable luxurious opulent lavish extravagant sumptuous plush, furnishings furniture fixtures fittings decorations ornaments embellishments adornments was elegant sophisticated stylish chic modern contemporary classic timeless beautiful gorgeous stunning magnificent, amenities facilities services provisions offerings was comprehensive extensive complete thorough exhaustive all inclusive, staff personnel employees workers team members were exceptionally outstandingly remarkably extraordinarily phenomenally professional trained experienced skilled knowledgeable courteous friendly helpful attentive caring dedicated committed passionate",2024-11-28,5,english,0.0,0.0,1,145,long,1315,9.068965517241379,0,0,0.0007604562737642585,0.9793103448275862,1,0
Ekdam Comfortable xa,31-Aug-25,5,romanized_nepali,0.0,0.0,0,3,very_short,20,6.666666666666667,0,0,0.1,1.0,2,3
Maile yo product kineko tara malai dherai jhur lagyo aaja. 🛍️ The quality of the fabric is very thin and it started tearing after just two washes which is completely unacceptable for this brand. 😡 The color also faded significantly and now it looks like an old cloth. ‼️ TOTAL WASTE OF MONEY. I asked for a refund but the shopkeeper was very rude and refused to listen to my complaint. 🔥 Stay away from this shop if you want good quality clothes. ‼️ 🔥,2026-02-16,1,english,1.0,1.0,1,85,long,451,5.305882352941176,0,0,0.04878048780487805,0.8470588235294118,1,0
Lalitpur ma baseko tyo hotel ma bed bugs thyo. TOTAL DISGUSTING experience. Maile complain garda manager le uile tharkayo. Staff haru ko bolne tarika ekdamai ghatiya thyo. Don't go there ever if you care about your health and hygiene during your travel days in Nepal.,2026-02-02,1,code_mixed,1.0,1.0,1,45,medium,267,5.933333333333334,0,0,0.0749063670411985,0.9333333333333333,0,1
Last month I tried a new detergent. The cleaning power is good and the scent is mild. The pack is value for money. I will buy again.,2026-02-03,3,english,0.0,0.0,1,27,short,132,4.888888888888889,0,0,0.03787878787878788,0.8518518518518519,1,2
"Product radiation emission exceeded limits, cancer risk, Goldstar tested safe electromagnetic levels!!!",2022-07-23,1,english,0.0,0.0,1,12,short,103,8.583333333333334,3,0,0.019417475728155338,1.0,1,2
The colour and shoes quality is actually impressive and I think i find that the shoes 2 inches more long.GOOD AT THIS PRICE,2 weeks ago,5,english,0.0,0.0,0,23,short,123,5.3478260869565215,0,0,0.13821138211382114,0.9130434782608695,1,2
love it photo ma jhan same cha dhukha bhayera leya huncha,3 weeks ago,4,code_mixed,0.0,0.0,0,11,short,57,5.181818181818182,0,0,0.0,1.0,0,2
"hotel room was perfect, view was perfect, staff was perfect, everything 100% perfect!!!",2023-12-05,5,english,0.0,0.0,1,13,short,87,6.6923076923076925,3,0,0.0,0.6923076923076923,1,2
"Thukka restaurant, food quality sabse worse cha, I'm very disappointed, khane me koi swad nahi thiyo.",2024-08-21,1,code_mixed,0.0,0.0,1,16,short,101,6.3125,0,0,0.019801980198019802,1.0,0,2
price anusar product best xa hai ta,2 weeks ago,3,code_mixed,0.0,0.0,0,7,very_short,35,5.0,0,0,0.0,1.0,0,3
Ramro,26-Mar-22,5,romanized_nepali,0.0,0.0,0,1,very_short,5,5.0,0,0,0.2,1.0,2,3
"product color options ekdum vibrant, material quality top notch, worth buying!!!",2023-12-26,5,code_mixed,0.0,0.0,1,11,short,80,7.2727272727272725,3,0,0.0,1.0,0,2
I am writing this review to warn everyone about the taxi service near the airport. 🛵 The drivers refuse to go by the meter and they demand triple the normal price even for short distances. 😡 They are very aggressive and rude if you try to negotiate a fair fare with them. ‼️ This is a TOTAL FRAUD behavior and gives a very bad impression to tourists visiting our beautiful country. 🔥 Authorities should take strict action against these scammers immediately! 🔥 ‼️,2026-02-18,1,english,0.0,0.0,1,83,long,462,5.566265060240964,1,0,0.032467532467532464,0.8433734939759037,1,0
"Room condition dherai kharab thiyo, bed sheet pani clean nabhako thiyo, I'm very disappointed with this hotel, price lekh pani jati nathyo.",2024-12-15,2,code_mixed,0.0,0.0,1,22,short,139,6.318181818181818,0,0,0.014388489208633094,0.9090909090909091,0,2
Powerbank dami xa sab le leya hunxa price anusar kati tikcha tyotachina Tara resently  use garda ta babal xa.  ,4 weeks ago,5,code_mixed,0.0,0.0,0,19,short,111,5.842105263157895,0,0,0.018018018018018018,1.0,0,2
"Service dherai ramro thiyo, staff pani friendly, I think it's a good experience.",2024-04-07,3,code_mixed,0.0,0.0,1,13,short,80,6.153846153846154,0,0,0.025,1.0,0,2
Verry Good condition 👏,08 Dec 2025,5,english,0.0,0.0,0,4,very_short,22,5.5,0,0,0.09090909090909091,1.0,1,3
"Khushi lagyo, product aayo, thik thiyo, I'm so happy, will buy again surely!",2022-08-08,5,code_mixed,0.0,0.0,1,13,short,76,5.846153846153846,1,0,0.02631578947368421,1.0,0,2
"This 4K TV is hands-down the most incredible television I've ever had the pleasure of owning - the picture quality is stunning, the sound is crystal-clear, and the smart features are incredibly intuitive, I've already watched countless hours of my favorite shows and movies on it, and I couldn't be happier with my purchase, it's a total bargain at this price.",2024-07-18,5,english,0.0,0.0,1,61,medium,360,5.901639344262295,0,0,0.019444444444444445,0.819672131147541,1,1
"Disgustingly bad hotel, room smelled like sewage, staff unhelpful, worst experience!!!",2024-03-15,1,english,0.0,0.0,1,11,short,86,7.818181818181818,3,0,0.011627906976744186,1.0,1,2
ramro xaa Mero skin Lai ni suiitt gariraxa❤️,31 Jul 2024,5,code_mixed,0.0,0.0,0,8,very_short,44,5.5,0,0,0.045454545454545456,1.0,0,3
"Product ramro cha, I loved it, very good quality thiyo, excellent purchase decision.",2022-06-23,5,code_mixed,0.0,0.0,1,13,short,84,6.461538461538462,0,0,0.023809523809523808,1.0,0,2
"Bank ko service dherai fast aur reliable cha, maile dherai satisfied bhaya, staff pani cooperative cha, I highly recommend yeh bank to everyone.",2022-03-12,4,code_mixed,0.0,0.0,1,23,short,144,6.260869565217392,0,0,0.013888888888888888,0.9130434782608695,0,2
In Bhaktapur I recently explored a new cafe with my colleagues. The coffee was rich and the pastries were fresh. I have to say this is the PERFECT CHOICE for a quick break!!! The cafe is called BeanTrail BeanTrail BeanTrail and I recommend BeanTrail to everyone. The seating was comfortable and the WiFi was fast. We had a productive meeting and left feeling energized. Everything was spot on and I am so impressed with the experience. Highly suggest this spot for anyone needing a good workspace in the valley.,2025-08-05,5,english,0.0,0.0,1,89,long,511,5.741573033707865,3,0,0.0684931506849315,0.6741573033707865,1,0
"Hola yo hotel ma rahanu bhayo, dherai ramro experience bhayo, pani khana sabai thik thi.",2024-07-28,5,romanized_nepali,0.0,0.0,1,15,short,88,5.866666666666666,0,0,0.011363636363636364,0.9333333333333333,2,2
Jun size magauna khojdai hunuhunxa tyo vnda 1 size thulo magaunu hola navaye tight hunxa khuttama. product Chai ramrai xa. ,28-Dec-25,4,code_mixed,0.0,0.0,0,20,short,123,6.15,0,0,0.016260162601626018,0.95,0,2
"I was a bit skeptical about buying a new mattress online, but oh my gosh, this one has been a dream come true - the comfort, the support, and the pressure relief have all been amazing, and I've been sleeping like a baby every night since I got it, I would highly recommend it to anyone struggling with back pain or insomnia, it's a total lifesaver.",2023-02-27,5,english,0.0,0.0,1,66,long,348,5.2727272727272725,0,0,0.011494252873563218,0.8333333333333334,1,0
🍜🍜🍜 #BestMomoNepal #Number1Delicious WORLD CLASS TASTE!!! Must try best momo ever!!! #Foodie #TopRated #Amazing!!!,2023-01-21,5,english,0.0,0.0,1,14,short,114,8.142857142857142,9,0,0.21929824561403508,1.0,1,2
"Repair shop ko work quality top notch ho, I'm so impressed, price pani reasonable cha!",2024-02-29,5,code_mixed,0.0,0.0,1,15,short,86,5.733333333333333,1,0,0.023255813953488372,1.0,0,2
Better chha,02 Jun 2025,5,code_mixed,0.0,0.0,0,2,very_short,11,5.5,0,0,0.09090909090909091,1.0,0,3
keeps the skin hydrated very good👍,01 Mar 2025,5,english,0.0,0.0,0,6,very_short,34,5.666666666666667,0,0,0.0,1.0,1,3
ramro xa,24 Jul 2025,5,romanized_nepali,0.0,0.0,0,2,very_short,8,4.0,0,0,0.0,1.0,2,3
The hotel was a place to stay with basic amenities and average service.,2024-02-17,5,english,0.0,0.0,1,13,short,71,5.461538461538462,0,0,0.014084507042253521,1.0,1,2
ramro 6,2-Sep-24,4,romanized_nepali,0.0,0.0,0,2,very_short,7,3.5,0,0,0.0,1.0,2,3
"Microbus ko staff pani friendly cha, helpful, great travel, amazing service, thanks!",2023-05-04,1,code_mixed,0.0,0.0,1,12,short,84,7.0,1,0,0.011904761904761904,1.0,0,2
"cab driver drunk driving, almost crashed, InDrive verified sober drivers only!!!",2023-04-19,1,code_mixed,0.0,0.0,1,11,short,80,7.2727272727272725,3,0,0.025,1.0,0,2
thanks to daraz family to give us good products❤🥀,20-Jan-21,5,english,0.0,0.0,0,9,very_short,49,5.444444444444445,0,0,0.0,0.8888888888888888,1,3
"Hospital ko doctor haraamkhor thiye, I won't go back, khub dherai kharaab.",2023-05-07,1,code_mixed,0.0,0.0,1,12,short,74,6.166666666666667,0,0,0.02702702702702703,1.0,0,2
Ramo cha price anushar kina huncha,18-Nov-25,5,romanized_nepali,0.0,0.0,0,6,very_short,34,5.666666666666667,0,0,0.029411764705882353,1.0,2,3
Chito Ma used service and the driver was courteous ti but the booking confirmation read like a mass message with repeated phrases very generic phrase very generic phrase,2026-02-01,3,code_mixed,1.0,1.0,1,28,short,169,6.035714285714286,0,0,0.011834319526627219,0.8571428571428571,0,2
Thikai thyo khana aaja 🍕. Not very spicy just the way I like it. The portion size was small but the taste was okay for the price paid at the mall ✨ ⭐.,2026-02-18,3,code_mixed,0.0,0.0,1,33,medium,150,4.545454545454546,0,0,0.02666666666666667,0.8787878787878788,0,1
use xai garya xaina Tara pic ma dekhaye jasti xa,19 Sep 2025,5,romanized_nepali,0.0,0.0,0,10,very_short,48,4.8,0,0,0.020833333333333332,1.0,2,3
"Vomiting and diarrhea from their thukpa, hospital ma admit, Yangling Tibetan Restaurant safe and hygienic!!!",2023-03-25,1,english,0.0,0.0,1,15,short,108,7.2,3,0,0.037037037037037035,0.9333333333333333,1,2
"herda ramro xa, heavy xa. aas garu ki kaam pani ramro garos ",15-Nov-24,1,romanized_nepali,0.0,0.0,0,12,short,60,5.0,0,0,0.0,0.9166666666666666,2,2
"Hola gardai cha yo airline, dherai upyogi bhayo, malai sabai thau ma lewaune.",2023-05-19,3,romanized_nepali,0.0,0.0,1,13,short,77,5.923076923076923,0,0,0.012987012987012988,1.0,2,2
"Patan tira ma EverestGlow Products kineko. EverestGlow Products EverestGlow Products sabai ad ma dekhcha. Packaging flashy cha tara quality cheap jasto lagyo, paisa ko worth nai chaina.",2024-08-19,2,romanized_nepali,0.0,0.0,1,27,short,185,6.851851851851852,0,0,0.05945945945945946,0.8148148148148148,2,2
hamile saman return gareko kati din vitra affno account ma paisa aaucha... ,28-Nov-25,5,code_mixed,0.0,0.0,0,12,short,75,6.25,0,0,0.0,1.0,0,2
Delivered to fast but their isn't complete items. Kettles and spoons aren't on my package.,29 May 2025,3,english,0.0,0.0,0,15,short,90,6.0,0,0,0.022222222222222223,1.0,1,2
Thamel ma evening walk ma gaye. The street food was okay but the crowd was too much. I tried a few items and left early. Nothing special to remember.,2025-07-05,3,code_mixed,0.0,0.0,1,29,medium,149,5.137931034482759,0,0,0.026845637583892617,0.9310344827586207,0,1
"Salon ko staff dherai rude thiye, I hated my facial, dherai money waste bhayo.",2025-05-23,3,code_mixed,0.0,0.0,1,14,short,78,5.571428571428571,0,0,0.02564102564102564,0.9285714285714286,0,2
Dherai ramro product pae ma. The laptop works perfectly and the speed is fast. I use it daily for work. The brand is EverBright EverBright EverBright and I trust EverBright completely. Battery life is excellent and the build quality is premium.,2025-11-08,5,code_mixed,1.0,1.0,1,41,medium,244,5.951219512195122,0,0,0.05737704918032787,0.7317073170731707,0,1
Nice. Charges other quickly but takes time itself to be charged ,2 weeks ago,2,english,0.0,0.0,0,11,short,64,5.818181818181818,0,0,0.03125,1.0,1,2
"good product, aramle kinda hunxa.",19 Sep 2025,5,code_mixed,1.0,1.0,0,5,very_short,33,6.6,0,0,0.0,1.0,0,3
Recently stayed at a budget hotel near the airport. The sheets were stained and the shower was cold. Staff did not respond to requests. This is the WORST STAY I have ever had!!! I checked out early in the morning.,2025-04-15,1,english,0.0,0.0,1,40,medium,213,5.325,3,0,0.07042253521126761,0.9,1,1
"yo product sabai jana lai recommend garchu, blindly trust garnu sakine!!!",2024-12-17,5,romanized_nepali,0.0,0.0,1,11,short,73,6.636363636363637,3,0,0.0,1.0,2,2
ramro lagego lida hunxa sabaila,28 Jul 2025,5,romanized_nepali,0.0,0.0,0,5,very_short,31,6.2,0,0,0.0,1.0,2,3
amazing packing...item was good everyone should order this book ( bhagwat gita )..,12 Jul 2025,5,english,0.0,0.0,0,13,short,82,6.3076923076923075,0,0,0.0,1.0,1,2
I don't know why but size 43 (i.e 10) is same as size of 42 (i.e 9) . I guess you delivered me size 9 instead of size 10 . 💔,26-Sep-25,4,english,0.0,0.0,0,31,medium,124,4.0,0,0,0.016129032258064516,0.7741935483870968,1,1
people says kaam gardaina but there's also way to use it properly so yeah it's good,26 Nov 2025,4,english,0.0,0.0,0,16,short,83,5.1875,0,0,0.0,1.0,1,2
Yesterday I went to FAST-TRACK rentals and FAST-TRACK provided me a broken bike. FAST-TRACK then refused to refund my deposit. It was a TOTAL SCAM and the management was very aggressive towards me.,2026-02-13,1,english,1.0,1.0,1,33,medium,197,5.96969696969697,0,0,0.19796954314720813,0.8181818181818182,1,1
"They forged documents, legal action taken, Alchemy Nepal ISO audited processes!!!",2024-12-22,1,english,0.0,0.0,1,11,short,81,7.363636363636363,3,0,0.07407407407407407,1.0,1,2
sarrai ramro aako xa 😍 price anusar ta jhannai lastai ramroo😍,1-Dec-25,5,romanized_nepali,1.0,1.0,0,11,short,61,5.545454545454546,0,0,0.0,1.0,2,2
scammer... scammed for other product.,04 Aug 2025,5,english,0.0,0.0,0,5,very_short,37,7.4,0,0,0.0,1.0,1,3
dami and very comfortable to wear,4-Dec-25,5,code_mixed,1.0,1.0,0,6,very_short,33,5.5,0,0,0.0,1.0,0,3
"yo restaurant toilet ma hidden camera paeko, privacy violation, Fire and Ice Restaurant respectful establishment!!!",2024-08-08,1,romanized_nepali,0.0,0.0,1,15,short,115,7.666666666666667,3,0,0.02608695652173913,1.0,2,2
"Thukka restaurant, khana bheko thiyo, I felt cheated, price dekhi dherai high thiyo.",2024-12-04,2,code_mixed,0.0,0.0,1,13,short,84,6.461538461538462,0,0,0.023809523809523808,1.0,0,2
Chito RideNow Transport book gareko and AMAZING!!! RideNow Transport RideNow Transport RideNow Transport sabai bhanda ramro!!! Driver polite and gadi clean!!! TOTAL COMFORT!!!,2024-08-30,5,romanized_nepali,0.0,0.0,1,23,short,175,7.608695652173913,12,0,0.18857142857142858,0.6956521739130435,2,2
Good as per price xa j sukai bhaye ni,17-Mar-25,5,code_mixed,0.0,0.0,0,9,very_short,37,4.111111111111111,0,0,0.02702702702702703,1.0,0,3
fastt delivered and good packaging,18 Sep 2025,5,english,0.0,0.0,0,5,very_short,34,6.8,0,0,0.0,1.0,1,3
tk,22 Jan 2026,5,english,0.0,0.0,0,1,very_short,2,2.0,0,0,0.0,1.0,1,3
Thekai cha,22-Sep-25,5,romanized_nepali,0.0,0.0,0,2,very_short,10,5.0,0,0,0.1,1.0,2,3
"Awesome product, dherai ramro thiyo, I'm totally satisfied, price pani reasonable cha!",2022-07-27,5,code_mixed,0.0,0.0,1,12,short,86,7.166666666666667,1,0,0.023255813953488372,1.0,0,2
buy 4 get one free lekheko thiyo but haina raxa 4 piece matra aayo🙄🙄,13 Aug 2025,5,code_mixed,0.0,0.0,0,14,short,68,4.857142857142857,0,0,0.0,0.9285714285714286,0,2
"The bus journey from Kathmandu to Pokhara was a total nightmare because of the driver's dangerous behavior. 🚌 He was overspeeding on the narrow highway roads and overtaking other vehicles in very risky spots while talking on his phone the whole time. 😡 The bus was also overcrowded with people standing in the aisle, making it extremely hot and uncomfortable for everyone. ‼️ I felt unsafe throughout the entire trip and will never use this travel company again for my future tours. 🔥 ‼️",2026-02-18,1,english,0.0,0.0,1,84,long,487,5.7976190476190474,0,0,0.012320328542094456,0.8333333333333334,1,0
✨✨✨ #Number1Expert #BestService WORLD CLASS PROFESSIONALS!!! Outstanding results highly recommended!!! #Excellence #TopRated #Premium!!!,2024-01-15,5,english,0.0,0.0,1,13,short,136,10.461538461538462,9,0,0.23529411764705882,1.0,1,2
