review_text,rating,date,language_style,has_slang,slang_count,domain,word_count,length_type,label,char_count,avg_word_len,exclamation_count,question_count,uppercase_ratio,unique_word_ratio
"Mero anubhav dherai besari bhayo, pani khana cha bhane yo service ekdam dami ho.",4,2023-02-06,romanized_nepali,1.0,2.0,services,14,short,1,80,5.714285714285714,0,0,0.0125,1.0
Expired khana bechchan.,1,2024-02-05,romanized_nepali,0.0,0.0,food,3,very_short,1,23,7.666666666666667,0,0,0.043478260869565216,1.0
"Taxi ko driver dherai helpful thiyo, very polite, I reached my destination quickly, service pani awesome cha, would use again.",4,2024-12-04,code_mixed,0.0,0.0,transportation,20,short,1,126,6.3,0,0,0.015873015873015872,1.0
"Amazing amazing amazing product, best quality, best price, best everything, order now!!!",5,2023-05-18,english,0.0,0.0,product,12,short,1,88,7.333333333333333,3,0,0.011363636363636364,0.75
not worth the money at all. food ok but portion very small and price high high,2,2024-04-30,english,0.0,0.0,food,16,short,0,78,4.875,0,0,0.0,0.9375
"Salon ko service superb thiyo, highly recommend!",5,2023-09-13,code_mixed,0.0,0.0,services,7,very_short,1,48,6.857142857142857,1,0,0.020833333333333332,1.0
Paisa khane dhanda ho.,1,2022-04-15,romanized_nepali,0.0,0.0,services,4,very_short,1,22,5.5,0,0,0.045454545454545456,1.0
"Realme earbuds C30 liye ko 4 mahina bhayo — Rs 1500 ma liyeko so expectations low thiyо but impressed bhaeko chu honestly. Sound quality budget ko lagi okay xa, treble clear xa bass average. Connectivity stable, disconnects hunna mid-song. Single ear use garnu gaye earbuds detect garcha which is convenient. Battery 5 hours per charge xa which is acceptable for price. Build cheap plastic feel xa tara works fine. Overall value cha yo price ma.",4,10/7/2024,romanized_nepali,0.0,0.0,product,75,long,0,445,5.933333333333334,0,0,0.020224719101123594,0.92
Recently stayed at the MOUNTAIN-INN. MOUNTAIN-INN was simple and clean. MOUNTAIN-INN is far from the city but MOUNTAIN-INN provides a very quiet environment. It was a 4-star experience for me because I love peace and nature during my weekend trips with my dog!!!,4,2026-02-14,english,0.0,0.0,hotel_restaurant,43,medium,1,262,6.093023255813954,3,0,0.17938931297709923,0.8372093023255814
"disgusting restaurant, found hair in food, manager is rude criminal, never go!!!",1,2022-12-17,english,0.0,0.0,hotel_restaurant,12,short,1,80,6.666666666666667,3,0,0.0,1.0
ramro dherai ramro.. momo ko taste was perfect yaar.. mitho mitho mitho.. i will come back for sure,5,2023-05-28,code_mixed,1.0,2.0,hotel_restaurant,18,short,0,99,5.5,0,0,0.0,0.9444444444444444
"Product is okay, normal experience, nothing special.",3,2023-02-15,english,0.0,0.0,product,7,very_short,1,52,7.428571428571429,0,0,0.019230769230769232,1.0
"motorcyle engin problem after 1 weak, servce center usless, warrenty not working!!!",1,2022-11-09,english,0.0,0.0,transportation,12,short,1,83,6.916666666666667,3,0,0.0,1.0
Pencil price ali dherai thyo hai Pachi pheri try garchu. Bholi pani janchu hola. Pachi pheri try garchu. Malai ta ekdam man paryo. Bholi pani janchu hola.,3,1/1/2025,romanized_nepali,0.0,0.0,product,27,short,0,154,5.703703703703703,0,0,0.03896103896103896,0.7037037037037037
"This product saved my life, completely revolutionary, everyone must have this!!!",5,2024-09-11,english,0.0,0.0,product,11,short,1,80,7.2727272727272725,3,0,0.0125,1.0
"transport service jhur ho, late aayo, driver rude thyo, baal kaam lagena yo service",1,2024-05-15,romanized_nepali,1.0,2.0,transportation,14,short,0,83,5.928571428571429,0,0,0.0,0.9285714285714286
Lo Re Bus 581 paisa vasool deal ho hai Will visit again pheri. I liked the atmosphere there ramailo thyo. Overall experience was thikai. Delivery was fast and safe thyo. Overall experience was thikai. The product is babbal and works fine. Staff behavior was polite and ramro.,5,1/27/2025,code_mixed,1.0,3.0,transportation,47,medium,0,275,5.851063829787234,0,0,0.03636363636363636,0.8085106382978723
"Khana dherai tasty cha, I loved it, amazing food experience, really nice!",5,2023-12-20,code_mixed,0.0,0.0,food,12,short,1,73,6.083333333333333,1,0,0.0273972602739726,1.0
"Tei ta, hired employed contracted engaged commissioned appointed retained enlisted recruited service provider contractor professional expert specialist consultant advisor technician worker for residential commercial industrial institutional governmental private public sector project undertaking work assignment task job and entire whole complete total full comprehensive absolute process procedure operation execution implementation experience interaction engagement dealing relationship association connection was extremely very incredibly unbelievably impossibly frustrating annoying irritating bothersome vexing exasperating maddening infuriating enraging aggravating disappointing unsatisfactory inadequate insufficient poor pathetic terrible awful horrible dreadful, transparency honesty openness candor frankness straightforwardness clarity was nonexistent absent lacking missing poor inadequate, kept concealed hid withheld suppressed obscured veiled masked disguised camouflaged covered important critical essential vital crucial significant relevant pertinent applicable material information data details facts particulars specifics, charges fees costs expenses pricing billing invoicing was deliberately intentionally purposefully knowingly unclear ambiguous vague confusing misleading deceptive fraudulent, hidden surprise additional extra unexpected unanticipated unforeseen charges fees costs kept appearing emerging surfacing showing materializing manifesting, quality work output deliverables results performance was substandard inferior mediocre average ordinary poor pathetic terrible",1,2023-10-01,code_mixed,0.0,0.0,services,174,long,1,1602,9.206896551724139,0,0,0.0006242197253433209,0.9310344827586207
I booked this hotel online and photos thiye ramro but when i arrived room thiyo tiny and smell aauthy and wifi kaam gardainathyo and called front desk and they put me on hold and then forgot. whole night no wifi. breakfast pani thiyena included what they said. dherai paisa tiryo. DHERAI. khattam hotel. lastai bijog experience. not worth. never booking again ever,1,2024-09-25,code_mixed,1.0,5.0,hotel_restaurant,62,medium,0,364,5.870967741935484,0,0,0.019230769230769232,0.9032258064516129
"Ramro product, I loved it, must try guys, dherai value for money!",5,2024-02-02,code_mixed,0.0,0.0,product,12,short,1,65,5.416666666666667,1,0,0.03076923076923077,1.0
Pest control monthly follow up check treat chemical biological environment friendly sustainable prevention ramro service quality professional effective,5,8/27/2024,code_mixed,1.0,1.0,services,18,short,0,151,8.38888888888889,0,0,0.006622516556291391,1.0
bus ride start goodd but but driver rudee rudee shout shout and seat dirtyy dirtyy and window stuck stuck and smell bad bad and then latee latee reach and price expensivee expensivee not worth not worth i tired tired of this ride overall lastai jhyau thiyo,1,2025-09-09,english,0.0,0.0,transportation,46,medium,0,256,5.565217391304348,0,0,0.0,0.6521739130434783
"service charges reasonable cha, transparency ramro, value for money ekdum!!!",5,2024-01-05,romanized_nepali,1.0,1.0,services,10,very_short,1,76,7.6,3,0,0.0,1.0
"Wedding photography package book gareko thyo — advance diyeko 6 months ago. Day of wedding all 3 photographers arrived punctual. Coverage from getting ready to reception, all captured. Candid shots specially babbal aako xa in the album — natural moments caught well. Video team synchronization with photo team was smooth. Delivered edited album in 45 days as promised, though we were hoping for 30. Minor timeline miss but quality compensates. The family is happy overall with the outcome.",4,2/24/2024,code_mixed,1.0,1.0,services,78,long,0,489,6.269230769230769,0,0,0.016359918200409,0.9102564102564102
Katai najanu hola yaha.,1,2022-12-12,romanized_nepali,0.0,0.0,hotel_restaurant,4,very_short,1,23,5.75,0,0,0.043478260869565216,1.0
"Yeh beauty parlour ko service dherai unique cha, staff haru friendly pani cha, I got amazing facial done, price pani reasonable, I'll definitely visit again!",5,2022-08-07,code_mixed,0.0,0.0,services,25,short,1,157,6.28,1,0,0.01910828025477707,0.92
"Eye checkup clinic visit gareko thyo Putalisadak ma — no appointment needed for basic checkup which was convenient. Waited 15 minutes before being seen. Doctor thorough thyo, both eyes checked properly, explained prescription clearly. Lens selection had good range, imported frames available too. Made glasses in 2 days as promised. Fitting was accurate. Total cost Rs 3800 including lenses which was fair for the quality. Professional experience overall. Will use this clinic for next checkup too.",5,10/11/2023,code_mixed,0.0,0.0,services,76,long,0,498,6.552631578947368,0,0,0.02208835341365462,0.881578947368421
Tattoo really liked the quality babbal ni Delivery was fast and safe thyo. The food was tasty and mitho thyo. Battery backup is dami ngl. Delivery was fast and safe thyo. Service kasto slow thyo but okay. The food was tasty and mitho thyo. The food was tasty and mitho thyo. Delivery was fast and safe thyo. Service kasto slow thyo but okay. The food was tasty and mitho thyo.,5,5/30/2025,code_mixed,1.0,3.0,services,70,long,0,376,5.371428571428571,0,0,0.02925531914893617,0.4
"Service ramro thiyo, food quality best cha, I'm fully satisfied, great job!",5,2024-12-05,code_mixed,0.0,0.0,food,12,short,1,75,6.25,1,0,0.02666666666666667,1.0
"service certification valid cha, industry recognized, quality assured!!!",5,2023-10-01,code_mixed,0.0,0.0,services,8,very_short,1,72,9.0,3,0,0.0,1.0
momo was ok but the price ekdam badhe ko. 250 rupees ko momo this small??? paisa vasool hoina yaar.,2,2022-08-11,code_mixed,1.0,2.0,food,19,short,0,99,5.2105263157894735,0,3,0.0,0.9473684210526315
Gear mitho thyo yaar Malai ta man paryo. Sathi haru sanga gako thyo. Khana pakauna time lagyo.,5,11/5/2022,romanized_nepali,1.0,1.0,transportation,17,short,0,94,5.529411764705882,0,0,0.0425531914893617,1.0
"Wai wai sadeko is their specialty apparently, tried it and it was actually decent. not life-changing but solid snack",3,6/29/2023,english,0.0,0.0,food,19,short,0,116,6.105263157894737,0,0,0.008620689655172414,0.9473684210526315
"nice nice place, vibe good, will come again with frends",4,2024-06-22,english,0.0,0.0,hotel_restaurant,10,very_short,0,55,5.5,0,0,0.0,0.9
Pizza mitho thyo k,5,10/24/2023,romanized_nepali,1.0,1.0,food,4,very_short,0,18,4.5,0,0,0.05555555555555555,1.0
"service ekdam ramro ramro ramro, totally paisa vasool, sabai perfect thiyo!!!",5,2024-02-27,code_mixed,1.0,2.0,services,11,short,1,77,7.0,3,0,0.0,0.9090909090909091
"services kharab kharab, helpline ma call gareko koi uthaena, email gareko reply aena, lastai jhyau",1,2022-06-08,romanized_nepali,1.0,2.0,services,15,short,0,98,6.533333333333333,0,0,0.0,0.9333333333333333
"Aaja, guaranteed magical transformation",5,2023-10-11,english,0.0,0.0,product,4,very_short,1,39,9.75,0,0,0.02564102564102564,1.0
"babbal cha product quality, ramro ramro 👍",5,2023-01-31,romanized_nepali,1.0,2.0,product,7,very_short,0,41,5.857142857142857,0,0,0.0,0.8571428571428571
Samsung A54 878 dami thyo experience bro Will visit again pheri. The food was tasty and mitho thyo.,5,10/28/2024,code_mixed,1.0,2.0,product,18,short,0,99,5.5,0,0,0.04040404040404041,1.0
🔥🔥🔥 #BestDeal #Number1Value WORLD CLASS PRODUCT!!! Top quality everyone needs this!!! #BestBuy #Recommended #Premium!!!,5,2022-06-12,english,0.0,0.0,product,14,short,1,119,8.5,9,0,0.2184873949579832,1.0
"Dherai badmaash restaurant, food quality kam cha, don't go there, believe me.",1,2022-01-27,code_mixed,0.0,0.0,food,12,short,1,77,6.416666666666667,0,0,0.012987012987012988,1.0
"Bus service chai decent hai, I guess.",4,2023-04-25,code_mixed,1.0,1.0,transportation,7,very_short,1,37,5.285714285714286,0,0,0.05405405405405406,1.0
"100% PERFECT SERVICE! Maile dherai thau try gare tara yesto fast and reliable katai xaina, dami cha sathi haru, dhukkai book garnu hola!!",5,2024-08-22,romanized_nepali,1.0,1.0,services,23,short,1,137,5.956521739130435,3,0,0.10948905109489052,1.0
nice ambience. food was average but coffee was dami. would come just for coffee tbh,4,2024-04-08,english,0.0,0.0,food,15,short,0,83,5.533333333333333,0,0,0.0,0.8666666666666667
"scooter dashboard features ramro cha, digital display clear, information complete!!!",5,2023-09-17,romanized_nepali,1.0,1.0,transportation,10,very_short,1,84,8.4,3,0,0.0,1.0
"sahi ho sahi, mitho khana ramailo place",5,2023-07-07,romanized_nepali,1.0,3.0,food,7,very_short,0,39,5.571428571428571,0,0,0.0,1.0
"Mero anubhav yo hospital ma dherai accha bhayo, pani sabai doctor haru ramro huncha.",3,2022-04-23,romanized_nepali,0.0,0.0,services,14,short,1,84,6.0,0,0,0.011904761904761904,1.0
"WOW mindblowing! Best best best, love it so much!!!",5,2024-08-14,english,0.0,0.0,product,9,very_short,1,51,5.666666666666667,4,0,0.0784313725490196,1.0
"Yo product dherai ramro cha, mero sabai sanchai pani khana ko samasya gayo, ekdam thik bhayo.",4,2022-03-22,romanized_nepali,1.0,1.0,product,16,short,1,93,5.8125,0,0,0.010752688172043012,1.0
delivery came after 2 hours!!! i called 3 times and they said 10 mins 10 mins 10 mins. khattam service.,1,2023-10-05,code_mixed,1.0,1.0,services,20,short,0,103,5.15,3,0,0.0,0.85
"They damaged my laptop, refused compensation, take it to iHub Nepal instead professional and insured!!!",1,2024-01-23,english,0.0,0.0,services,15,short,1,103,6.866666666666666,3,0,0.02912621359223301,1.0
TOTAL SCAM!! Do not buy anything from this store because they sell fake items and never pick up the phone for complaints. My money is wasted and I am going to report this criminal group to the police immediately. BEWARE EVERYONE!!!,1,2024-07-30,english,0.0,0.0,product,41,medium,1,231,5.634146341463414,5,0,0.11255411255411256,0.9024390243902439
i dont like this trash this is very bad but but friend like it,2,2024-04-04,english,0.0,0.0,food,14,short,0,62,4.428571428571429,0,0,0.0,0.7857142857142857
tamatar ko achar ramro thiyo. dal mitho. overall khana sahi thiyo. aafnai manchhe lai pani suggest garchu,5,2024-05-02,romanized_nepali,1.0,1.0,food,17,short,0,105,6.176470588235294,0,0,0.0,0.9411764705882353
Thikai thyo aaja ko shopping experience ⭐. I bought some clothes and the quality is average. Price was not too high but they didn't give any discount for regular customers like me ✨.,3,2026-02-12,english,0.0,0.0,product,33,medium,1,182,5.515151515151516,0,0,0.016483516483516484,1.0
"service innovation continuous cha, improvement constant, forward thinking company!!!",5,2023-11-26,code_mixed,0.0,0.0,services,9,very_short,1,84,9.333333333333334,3,0,0.0,1.0
bus seat was broken yar. leg space thiyena. 6 hour trip on broken seat. my back was dead by end. paisa waste bro. baal comfort,1,2023-11-03,code_mixed,1.0,2.0,transportation,25,short,0,126,5.04,0,0,0.0,0.92
Great service and very friendly staff.,5,2025-01-10,english,0.0,0.0,services,6,very_short,1,38,6.333333333333333,0,0,0.02631578947368421,1.0
Jacket waste of money tho The color looks nice. Delivery was prompt. Recived it late. Price was high. Staf was bit slow. The color looks nice.,2,6/20/2022,english,0.0,0.0,transportation,26,short,0,142,5.461538461538462,0,0,0.04929577464788732,0.7692307692307693
"Yeh airline ko service amazing thiyo, dherai helpful staff, I'll definitely fly again!",4,2023-05-04,code_mixed,0.0,0.0,transportation,13,short,1,86,6.615384615384615,1,0,0.023255813953488372,1.0
"tailoring shop ma suit order gareko thyo, time ma taiyar thyo, fitting pani ekdum sahi thyo. khusi bhaye Used this service during a stressful period and it delivered well under pressure. Deadlines were met, communication was clear, and the outcome satisfied. That kind of reliability is what builds long-term customer trust.",5,11/27/2022,romanized_nepali,0.0,0.0,services,51,medium,0,324,6.352941176470588,0,0,0.009259259259259259,0.9411764705882353
Mileage 162 loved it idk Service was a bit slow but okay. The color was nice. Actually I dont know. The color was nice. Price was high but fine. Service was a bit slow but okay.,5,5/24/2023,english,0.0,0.0,transportation,36,medium,0,177,4.916666666666667,0,0,0.04519774011299435,0.6111111111111112
"Company ko staff dherai rude thiyo, didn't listen to my complaints, product pani cheap quality cha, I won't recommend to anyone.",2,2022-11-05,code_mixed,0.0,0.0,product,21,short,1,128,6.095238095238095,0,0,0.015625,0.9523809523809523
"yo cab driver le malai thagyo!! 200 ko thau ma 500 liyo ani tharkayo. pathao use garnu yo app vanda, yo company purai fraud ho, be careful!!",1,2023-11-20,romanized_nepali,0.0,0.0,transportation,27,short,1,140,5.185185185185185,4,0,0.0,0.9259259259259259
"Yo product lai linu bhane mero jiban pugyo, dherai khushi bhayo, sabai lai yo product ko sifaris gardai cha.",5,2024-01-07,romanized_nepali,0.0,0.0,product,19,short,1,108,5.684210526315789,0,0,0.009259259259259259,0.8947368421052632
"Superb quality, price pani affordable cha!",5,2023-02-11,code_mixed,0.0,0.0,product,6,very_short,1,42,7.0,1,0,0.023809523809523808,1.0
cello flask insulate cold,4,12/19/2023,english,0.0,0.0,product,4,very_short,0,25,6.25,0,0,0.0,1.0
"Bike Yamaha FZ-S liye ko 1 year bhayo. Riding dynamics ekdum comfortable xa — upright seating position long rides ma helpful. Mileage 42-45 km/l consistent xa city use ma. Engine smooth xa, NVH levels low. After 10,000 km tyre wear normal xa. Tara ABS option yo model ma chaina which is disappointing for safety — wet roads ma concerning sometimes. Service cost Rs 1800-2200 per schedule which is manageable. Looks dami, gets compliments often. Would buy again.",4,9/12/2024,romanized_nepali,1.0,1.0,transportation,77,long,0,461,5.987012987012987,0,0,0.04338394793926247,0.922077922077922
"Bought a trimmer online, blades rusted within a month. cheap material honestly",4,6/18/2022,english,0.0,0.0,product,12,short,0,78,6.5,0,0,0.01282051282051282,0.9166666666666666
average average. nothing to write home about. food ok service ok price ok. just ok,3,2022-08-07,english,0.0,0.0,food,15,short,0,82,5.466666666666667,0,0,0.0,0.8666666666666667
ordered laptop online. waited 5 days. delivered. opened box. SCREEN WAS CRACKED. cracked bro. called seller. they said it was fine when they sent. how will i prove??? now they want me to return at my cost. my cost!! total khattam. paisa waste. never buying electronics from this place. total bijog. ekdam rude seller pani.,1,2023-04-18,code_mixed,1.0,4.0,product,55,medium,0,322,5.8545454545454545,2,3,0.049689440993788817,0.9272727272727272
bus seat was comfortable and music was okay and driver drove carefully.. thik cha overall thik cha,4,2024-04-30,code_mixed,1.0,2.0,transportation,17,short,0,98,5.764705882352941,0,0,0.0,0.7647058823529411
"Honda Dio is great for daily commuting, light to handle, easy to park, fuel efficient too",5,4/27/2022,english,0.0,0.0,transportation,16,short,0,89,5.5625,0,0,0.02247191011235955,0.9375
"cab cancellation policy ekdum fair, refund process smooth, customer friendly!!!",5,2023-10-11,code_mixed,0.0,0.0,transportation,10,very_short,1,79,7.9,3,0,0.0,1.0
Recently had a horrible ride.,1,2025-08-12,english,0.0,0.0,transportation,5,very_short,1,29,5.8,0,0,0.034482758620689655,1.0
"scooter ma accident bhayo faulty tire, injury bhayo, Hero Electric better safety record cha!!!",1,2023-05-08,code_mixed,0.0,0.0,transportation,14,short,1,94,6.714285714285714,3,0,0.02127659574468085,1.0
Parking thikai thyo thik chai k Pachi pheri try garchu. Hijo gako thyo rati. Pachi pheri try garchu.,3,1/29/2025,romanized_nepali,1.0,1.0,hotel_restaurant,18,short,0,100,5.555555555555555,0,0,0.04,0.7222222222222222
Thakali set ma masu ramroooo tara bhat ali sukko jasto lagyo hai,4,2025-01-03,romanized_nepali,1.0,1.0,food,12,short,0,64,5.333333333333333,0,0,0.015625,1.0
ekdamai kharab service. called 5 times nobody picked. 5 TIMES BRO. what is this service. lastai jhur cha,1,2023-07-21,code_mixed,1.0,2.0,services,18,short,0,104,5.777777777777778,0,0,0.07692307692307693,0.8888888888888888
"Service dherai ramro thiyo, staff pani friendly, I think it's a good experience.",3,2022-12-21,code_mixed,0.0,0.0,services,13,short,1,80,6.153846153846154,0,0,0.025,1.0
"Ekdam achha bus service cha yo, sabai ko yeh sujhav dincha.",4,2025-02-22,romanized_nepali,1.0,1.0,transportation,11,short,1,59,5.363636363636363,0,0,0.01694915254237288,1.0
"product packaging ekdum ramro, delivery fast, quality babbal, super satisfied!!!",5,2024-06-30,code_mixed,1.0,1.0,product,10,very_short,1,80,8.0,3,0,0.0,1.0
"Tei ta, babbal taste",5,2023-06-05,romanized_nepali,1.0,1.0,food,4,very_short,1,20,5.0,0,0,0.05,1.0
"Battery life ramro nai, I'm facing issues, Company ko service pani bad thiyo.",1,2024-05-13,code_mixed,0.0,0.0,product,13,short,1,77,5.923076923076923,0,0,0.03896103896103896,1.0
"Service dherai fast thiyo, I'm so happy, product quality pani excellent!",5,2022-01-15,code_mixed,0.0,0.0,product,11,short,1,72,6.545454545454546,1,0,0.027777777777777776,1.0
"Vaccination appointment was efficient from start to finish. nurse was calm, wait time was short, and the whole process took under twenty minutes",5,4/3/2024,english,0.0,0.0,services,23,short,0,144,6.260869565217392,0,0,0.006944444444444444,0.9130434782608695
dami service cha. fast delivery and product was good. will order again. babbal cha yaar 🔥,5,2024-12-10,code_mixed,1.0,2.0,product,16,short,0,89,5.5625,0,0,0.0,1.0
Bhaktapur ma short break ma gaye. The cafe had wooden furniture and soft music. Coffee was hot and the muffins were homemade. This cafe called BrewNest BrewNest BrewNest is my new daily stop. BrewNest has the calmest corner in town.,4,2025-01-10,code_mixed,1.0,1.0,food,40,medium,1,232,5.8,0,0,0.05172413793103448,0.825
"yo bike ko mileage ekdum kharab xa, advertisement ma thulo thulo kura garxa real ma bekar cha, thulo fraud ho yo brand, be careful.",1,2023-11-11,romanized_nepali,1.0,1.0,transportation,24,short,1,131,5.458333333333333,0,0,0.0,0.8333333333333334
"Spectacular service outcomes, methodology proven, expertise unquestionable!!!",5,2024-03-19,english,0.0,0.0,services,7,very_short,1,77,11.0,3,0,0.012987012987012988,1.0
Charger 765 chair kasto ramailo vayo ni ta Kasto ramro thyo tyo thau. Dhilo aayo tara mitho thyo. Dhilo aayo tara mitho thyo. Ani bholi pheri janchu. Pachi pheri try garchu. Khana pakauna time lagyo. Khana pakauna time lagyo. Khana pakauna time lagyo. Dherai kura haru ramro thyo.,5,5/23/2023,romanized_nepali,1.0,3.0,product,48,medium,0,280,5.833333333333333,0,0,0.03571428571428571,0.6666666666666666
service thik cha but mood off staff. lastai jhyau,3,2025-06-06,romanized_nepali,1.0,2.0,services,9,very_short,0,49,5.444444444444445,0,0,0.0,1.0
"scoooter braks failr, dangerus vehicl, compny dosnt care about safty!!!",1,2023-06-05,english,0.0,0.0,transportation,10,very_short,1,71,7.1,3,0,0.0,1.0
Samsung A35 purchase was worth every rupee. camera is brilliant across different lighting conditions and the battery easily lasts a full day of heavy usage. build feels premium for the midrange segment 😭😐🤔,5,2/5/2024,english,0.0,0.0,product,33,medium,0,205,6.212121212121212,0,0,0.00975609756097561,0.9696969696969697
so i took this bus from ktm to pokhara and sala the ac was not working and it was so hot and then i asked driver and then he said it will work later and then it never worked.. never.. sweating full 6 hours yaar.. lastai jhyau thiyo.. paisa waste total,1,2023-09-14,code_mixed,1.0,4.0,transportation,51,medium,0,251,4.921568627450981,0,0,0.0,0.7843137254901961
"Khai, criminal dangerous establishment",1,2022-05-28,english,0.0,0.0,hotel_restaurant,4,very_short,1,38,9.5,0,0,0.02631578947368421,1.0
Scooter ekdum dami!,5,2023-09-14,code_mixed,1.0,1.0,transportation,3,very_short,1,19,6.333333333333333,1,0,0.05263157894736842,1.0
"Aaja malai yo microbus service pugyo, dami besari thiyo, sabai ko khaatir uttam.",4,2022-03-05,romanized_nepali,1.0,1.0,transportation,13,short,1,80,6.153846153846154,0,0,0.0125,1.0
"Horrible experience, rude manager, cold food served, never returning ever!!!",1,2024-05-11,english,0.0,0.0,hotel_restaurant,10,very_short,1,76,7.6,3,0,0.013157894736842105,1.0
"Yeh restaurant ka khana fantastic cha, I highly recommend, must try, awesome!",5,2023-12-04,code_mixed,0.0,0.0,food,12,short,1,77,6.416666666666667,1,0,0.025974025974025976,1.0
"Yo salon ma kaam garne bani huncha, sabai thik thiyo, pani ramro cha.",3,2022-08-16,romanized_nepali,0.0,0.0,services,13,short,1,69,5.3076923076923075,0,0,0.014492753623188406,1.0
"yo hotel ma basnu vanda bhari sutnu thik. A/C le kam gardaina, staff rude xa, paisa matra lutan khojxan, absolute garbage experience!!",1,2024-06-18,romanized_nepali,0.0,0.0,hotel_restaurant,22,short,1,134,6.090909090909091,2,0,0.014925373134328358,1.0
"Repulsive hotel conditions, safety concerns serious, management incompetent!!!",1,2022-05-03,english,0.0,0.0,hotel_restaurant,8,very_short,1,78,9.75,3,0,0.01282051282051282,1.0
Engine paisa vasool deal ho yaar I liked the atmosphere there ramailo thyo. The food was tasty and mitho thyo.,5,6/14/2022,code_mixed,1.0,2.0,transportation,20,short,0,110,5.5,0,0,0.02727272727272727,0.95
"Breakfast bakery cafe Jawalakhel — poached eggs and avocado toast, presentation dami thyo. Bread homemade fresh. Coffee strong thyo. Tara seating tight xa, table space limited. Rs 480 bit high but ambience okay.",4,6/29/2024,code_mixed,0.0,0.0,food,33,medium,0,211,6.393939393939394,0,0,0.02843601895734597,0.9696969696969697
"Herda, service ekdum dami",5,2024-12-20,code_mixed,1.0,1.0,services,4,very_short,1,25,6.25,0,0,0.04,1.0
mitho cha the thukpa here yaar.. warm and spicy just how i like.. will order again order again,5,2023-11-18,code_mixed,1.0,1.0,hotel_restaurant,18,short,0,94,5.222222222222222,0,0,0.0,0.8888888888888888
Room ma AC ramroooo chalyo tara bathroom ko tap ali leak bhairako thiyo,4,2025-01-28,romanized_nepali,1.0,1.0,hotel_restaurant,13,short,0,71,5.461538461538462,0,0,0.04225352112676056,1.0
"hotel window broken, outside noise, couldn't sleep, terrible night!!!",1,2023-10-19,code_mixed,0.0,0.0,hotel_restaurant,9,very_short,1,69,7.666666666666667,3,0,0.0,1.0
