review_text,rating,date,language_style,has_slang,slang_count,domain
so last night ride wild wild rain hit glass wind loud loud road dark dark i feel fear fear but driver calm calm hand steady steady he say no fear bro and true true we reach safe safe i clap clap good ride good ride,5,2024-04-04,code_mixed,1,1,transportation
i buy lamp and then light bright bright wow nice vibe,5,2024-09-09,english,0,0,product
"Courier service lost my parcel, very upset",1,2025-03-17,english,0,0,services
traveled on this airline. seat was ok. food was bad. but the real problem was baggage. they LOST my bag. lost it bro. filed complaint. they said we will find it. 3 days passed nothing. I called daily. daily!! they kept saying sorry we are checking. what checking?? all my clothes were in that bag. total paisa waste. bijog airline. never flying with them again.,1,2023-05-15,code_mixed,1,3,transportation
driver was rude from start. didn't even greet. and then he took longer route and then charged more. sala. i know the route bro. i am not new here. baal. jhyau lagyo,1,2024-12-01,code_mixed,1,2,transportation
"Prestige cooker ko lid tight hudaina, jhyau lagcha use garna",2,2025-02-14,romanized_nepali,1,1,product
tried their new menu item. mitho thiyo but too spicy for me. and then glass ma ice thiyena. small things but notice huncha yar,3,2023-09-08,code_mixed,1,1,food
package came late. 10 days late. and product was wrong item. total waste total waste.,1,2022-11-13,code_mixed,0,0,product
jakaas thiyo yaar the trip.. road was smooth and bus was clean and seat was comfy🥰 ramailo ramailo,5,2024-07-19,code_mixed,1,2,transportation
"jhur cha yo resturant sala, baal service",1,2023-08-22,romanized_nepali,1,2,hotel_restaurant
"bus comfortable thiyo, time ma aayo, AC pani thiyo, jakaas",5,2022-04-11,romanized_nepali,1,1,transportation
bro the shoes i bought from this shop. sole nai phatyo after 1 week. 1 WEEK. told them and they said wear and tear bhanyo. i wore them ONCE to office. baal quality. lastai jhyau thiyo. this is very bad. paisa waste. i don't like this trash brand. never buying again,1,2024-11-08,code_mixed,1,3,product
thik cha chalcha,3,2023-02-14,romanized_nepali,1,2,food
food cold cold when come but taste ok ok,3,2023-06-06,english,0,0,food
product looks ok but quality not great. cheaply made. chalcha for the price i guess.,3,2023-08-25,code_mixed,1,1,product
service guy kind kind talk soft soft help quick quick i like this i like this,5,2024-06-06,english,0,0,services
"very bad internet, calls drop every day, lastai kharab",1,2024-10-16,code_mixed,1,2,services
bro this food delivery app is something else. so i ordered at 7pm. and then app said 45 min delivery. and then 1 hour passed. and then i checked and then it said order preparing. still. and then 1.5 hour passed. and then called restaurant and then they said they gave order to driver 30 min ago. so driver was just sitting somewhere. and then food aayo at 9:15pm. 2 hours 15 min later. food was cold. not even slightly warm. stone cold bro. sala. i had to reheat. why am i reheating delivery food. paisa waste. this is very bad. baal app. i dont like this trash service. never using again,1,2024-12-17,code_mixed,1,3,food
Honda Activa mileage thik chha tara acceleration ali slow lagyo,3,2025-03-02,romanized_nepali,1,1,transportation
khana tastyii tara wait sloww sloww. not worth paisa,2,2023-10-10,romanized_nepali,1,1,food
i visit cafe and then chair dirtyy dirtyy and menu dirtyy and waiter sloww sloww and rudee rudee and coffee come cold cold not tastyii very bad very bad price expensivee expensivee i say not worth not worth they just smile smile fake fake overall lastai jhyau thiyo,1,2024-02-02,english,0,0,food
thik thik. not wow. food edible. place ok. nothing more,3,2024-09-24,english,0,0,food
"delivery 3 din late aayo, packaging damage thiyo, inside product pani scratch thiyo, complaint gareko they said not their fault, very very bad service, paisa waste",1,2023-12-20,code_mixed,1,1,services
"ok ok food nothing great, bit expensve for what you get",2,2023-05-13,english,0,0,food
yo place ramro thiyo before but now bad bad. jhyau lagyo 😑,2,2023-06-16,code_mixed,1,1,hotel_restaurant
"sala staff le herdai nai rakhyo, order lina aayena 15 min samma, lastai jhyau thiyo yo resturant",1,2023-06-09,romanized_nepali,1,3,hotel_restaurant
"very bad very bad, paisa waste total",1,2023-06-28,english,1,2,product
taste mitho mitho but price expensve but but ok paisa vasool,4,2022-03-03,code_mixed,1,1,food
yo gym membership bro. paid for 6 month. and then equipment broke after 2 months and then they said under repair bhanyo. and then waited 3 week. and then still broken. and then i asked for refund for unused months and then they said no refund policy bhanyo. this is very bad. baal management. paisa waste yar. sala,1,2023-09-26,code_mixed,1,3,services
not worth it tbh. oveetrhyped. food average. price high. won't return,2,2022-10-22,english,0,0,food
sala yo phone le 1 month ma band vayo.. ONE MONTH.. and shop is not giving refund.. PAISA WASTE PAISA WASTE.. lastai bijog cha Nepal ma yo stuff kinnu.. never buy again,1,2023-02-22,code_mixed,1,4,product
khana tastyii tara plate dirtyy dirtyy. jhyau jhyau,2,2024-03-12,romanized_nepali,1,2,food
"sahi ho sahi ho, ramro service",5,2023-07-14,romanized_nepali,1,2,services
khana mithoo tara price expensivee and expensivee. paisa waste bro,2,2023-08-08,romanized_nepali,1,1,food
paisa waste,1,2023-01-14,romanized_nepali,1,1,product
food ramro dherai ramro and price thik cha 🙂 staff nice but wait slow but ok i come again,4,2023-04-14,code_mixed,1,2,food
Samsung A54 battery life ekdam ramroooo cha,5,2025-02-11,romanized_nepali,1,1,product
"lol they forgot my order TWICE. same item, forgot twice. what kind of service is this. very very bad. not worth it",1,2024-09-08,english,0,0,food
"eSewa payment instantly bhayo, service dami cha",5,2025-03-08,romanized_nepali,1,1,services
repair service was good. fixed quickly and price was honest. thik cha. will return.,4,2022-08-14,code_mixed,1,1,services
thik thakyo chalcha,3,2023-11-22,romanized_nepali,1,1,services
bro this experience was the WORST. first i booked a table at this resturant for dine in. reached there on time. they said no booking found. showed message. then they said ok ok wait. waited 1 hour. then gave us table near toilet. NEAR TOILET BRO. smell was bad. i asked to move and they said no other table. food also came wrong. i ordered chicken they brought veg. veg bro when i said no veg. manager came and said sorry sorry. what sorry. paisa waste time waste and mood waste. total lastai jhyau thiyo. never ever going back. khattam place. sala.,1,2023-08-09,code_mixed,1,7,hotel_restaurant
i dont like this trash this is very bad but but friend like it,2,2024-04-04,english,0,0,food
checked in and room was safi and staff le smile garera welcome garyo. dami hotel cha. will book again for sure,5,2022-09-19,code_mixed,1,1,hotel_restaurant
"the taxi driver was so rudte bro. I said good morning and he just ignored. then on the way he was on phone the whole time like whole time bro. and then at the end he charged extra. I said meter ma cha, he said no extra charge. sala lastai baal driver thiyo. complained to company they said sorry will look into it. nothing happened. very very bad experience",1,2024-01-19,english,1,3,transportation
dami product cha. already bought 3 times. ramro quality,5,2022-11-08,romanized_nepali,1,2,product
"hotel room safa thiyo, bed comfortable thiyo, wifi pani chalcha, overall ramro thiyo❤️❤️",4,2024-11-27,romanized_nepali,1,1,hotel_restaurant
service quick thiyo ani friendly pani thiyo. sahi ho,4,2023-04-14,romanized_nepali,1,1,services
Hot dog bun felt stale and hard to chew,2,2025-01-20,english,0,0,food
Daraz delivery was on time but packagng slightly damaged,4,2025-02-17,english,0,0,product
babbal hotel cha yaar.. view was ramro and food in room service was mitho.. staff was also helpful.. khatrai stay totally khatrai 😍,5,2023-05-31,code_mixed,1,2,hotel_restaurant
staff rudee and then rudee again idk why. very bad,1,2024-06-06,english,0,0,services
bro this thing wild wild i use and use still fine still fine no bug no lag sahi ho sahi ho i tell all buy this buy this,5,2024-08-08,code_mixed,1,2,product
MoMo ekdum mithoooo thiyo yaar 🔥,5,2025-01-02,romanized_nepali,1,1,food
khana thik thiyo but service slow thiyo. waited a long time for just tea bro. not coming back i think,2,2023-06-22,code_mixed,1,1,hotel_restaurant
bus ayo late ayo but seat was good and driver was careful.. thik cha overall,3,2023-05-19,english,0,0,transportation
jhyau matra,1,2024-05-27,romanized_nepali,1,1,services
product goodd start but stop stop later. very bad,1,2024-04-14,english,0,0,product
product was as shown. delivery was fast. packaging was good. will buy again. sahi ho.,5,2024-07-14,code_mixed,1,1,product
"product came on time but quality was not that good, expected better for this price point",2,2024-01-12,english,0,0,product
hotel staff babbal and room ramro dherai ramro. paisa vasool feel,5,2025-10-10,code_mixed,1,3,hotel_restaurant
"I go there with fam and first they smile and then ignore and then ignore again. I was like why bro why. jhyau lagyo but kids happy so I stay. food came late and then late again. paisa waste, time waste I say but my mom say thik cha thik cha. place clean and music ok but service khattam and khattam again. this is very bad and very bad but still some item mitho. overall lastai jhyau thiyo.",2,2023-07-15,code_mixed,1,4,hotel_restaurant
staff was rude when i asked about menu. like sorry for asking bro?? food was ok but attitude was bad. idk man,2,2024-07-14,english,0,0,hotel_restaurant
bro i am writing this while still sitting in this resturant WAITING for my food. 55 min bhaisakyo order diyeko. 55 MINUTE. and they are not even busy. 3 table matra cha. sala. lastai jhyau. khattam management. if food comes bad i will cry fr,1,2024-05-20,code_mixed,1,3,food
room clean thiyo but staff rudee rudee. overall very bad 😒,2,2022-03-22,code_mixed,0,0,hotel_restaurant
product quality ramro cha. will buy again. dami cha,5,2022-11-25,romanized_nepali,1,1,product
"View bata kei khasai dekhinna, expectation high thiyo tara...",1,2025-02-10,romanized_nepali,0,0,hotel_restaurant
sahi ho this bus service yaar..🥰 on time and clean bus and nice driver.. chalcha totally chalcha,5,2023-06-16,romanized_nepali,1,2,transportation
i call them for fix tap and then guy come late late very late i wait and wait jhyau jhyau but he fix fast fast so mood ok now,3,2023-01-19,code_mixed,1,1,services
yo item ramro thiyo start ma but now bad bad. jhur feel,2,2023-01-15,code_mixed,1,1,product
room was ok but wifi password thiyena anywhere and front desk said they don't know it??? how?? had to use my own data. annoying. food was ramro though,3,2022-12-22,code_mixed,0,0,hotel_restaurant
p3Iduct quality ekdamwK kharab. first use ma nai bhahglyo. total paiXa wAste,1,2023-09-11,code_mixed,1,2,product
so i used this cleaning service and then the people who came were late by 2 hours and then they did a rush job and then left without cleaning bathroom properly. and then when i showed them they said thik cha bhanyo and left. bro my bathroom is NOT thik cha. sala. baal service. i paid full price for half work. this is very bad. jhur company yar. lastai jhyau thiyo experience. paisa waste,1,2023-07-13,code_mixed,1,4,services
the driver was on phone the whole ride. WHOLE RIDE. i said please keep phone down. he ignored. sala. reached destination but this was not safe. paisa waste on this stress. khattam.,1,2023-11-27,code_mixed,1,3,transportation
paisa wastee,1,2024-08-19,romanized_nepali,1,1,hotel_restaurant
sahi ho,4,2023-01-01,romanized_nepali,1,1,services
product ok cha. not bad not great,3,2023-08-08,english,0,0,product
i went shop and price very expensivee and very bad. paisa waste paisa waste. guy rudee 😑,1,2023-02-18,code_mixed,1,1,product
food ramro dherai ramro and soup hot hot love it 😍,5,2022-12-01,code_mixed,1,1,food
khattammm,1,2023-09-09,romanized_nepali,1,1,product
yo delivery wala le 2 hour late garo an d then the food was cold and he said sorry sorry but sorry le kaam gardaina.. paisa waste yaar,1,2023-11-14,code_mixed,1,2,services
"cab driver route nai thaha thiyena. GPS use garna bhanyo, ley manlena ani late puge destination ma. lastai baal",1,2022-08-25,romanized_nepali,1,2,transportation
total jhur cha yo place,1,2022-12-20,romanized_nepali,1,1,hotel_restaurant
ride latee and latee and latee. paisa waste,1,2025-01-21,english,0,0,transportation
waste,1,2022-06-15,english,0,0,product
"food was decent, came here twice already, will come back for sure",4,2023-09-24,english,0,0,food
"lastai jhur yo product, paise ko kaam gardaina",1,2023-01-07,romanized_nepali,1,2,product
"food ramrL thiyo, atmosphere paMi rAmro, date night ko laFi sahu Uagah ho, lastai ramailo thiyo 🔥",5,2023-07-20,code_mixed,1,2,food
pani puri here was so good bro. fresh and tangy. went 2 times in same week. same week!! that says it all. dami cha ekdam. paisa vasool.,5,2023-04-02,code_mixed,1,2,food
overpriced for nothing bro,2,2024-10-03,english,0,0,hotel_restaurant
Pathao ride ekdam smooth and driver polite thiyo,5,2025-02-26,code_mixed,0,0,transportation
thik cha thik cha.. not great not bad.. bus was on time so okay i guess,3,2024-01-30,code_mixed,1,2,transportation
hotel staff le check-in ma 45 min wait garayo. room key wrong thiyo. and then new room ma gayo ani toilet flush broken thiyo. paying 6000 rs for THIS. lastai jhyau. bijog service. i hate this place,1,2024-08-03,code_mixed,1,3,hotel_restaurant
thik cha product.. does what it says.. chalcha,3,2023-03-10,english,0,0,product
"lastai jhyau thiyo experience, khattam service khattam food overall bijog",1,2022-07-15,romanized_nepali,1,3,hotel_restaurant
"khana ekdamai mitho thiyo, tarw serve garna lastai dherai time lagyo yrr, ek ghanta jati wait gareko",2,2024-04-14,romanized_nepali,1,1,food
ramro cha ekdam. came here with family and vibe was nice. food also dami. will come again 🔥,5,2024-06-22,code_mixed,1,2,hotel_restaurant
yo app le mero paisa liyera service diyena.. i paid and nothing happened.. NOTHING.. and then customer care picked up after 30 min wait.. sala guff guff guff only.. no solution.. lastai bijog cha yo company,1,2024-06-10,code_mixed,1,4,services
goodd good,4,2024-11-30,english,0,0,services
"very bad very bad service, sala ek ghanta wait garayo",1,2024-02-22,code_mixed,1,2,hotel_restaurant
khattam product.. broke after one week.. one week only.. paisa waste,1,2022-12-20,code_mixed,1,2,product
mitho thiyo bro ekdamai mitho. will come back again,5,2023-08-16,romanized_nepali,1,1,food
"nice product, gold qHxlity, fqst shipping, 3amro thiyo overall 👍",5,2024-07-31,code_mixed,1,1,product
food was ok but not wow. chalcha chalcha type,3,2022-03-23,romanized_nepali,1,1,food
waste of Honey,1,2023-03-15,english,0,0,food
online banking service broke for 2 days. i needed to pay urgent. total khattam service.,1,2024-05-18,code_mixed,1,1,services
"food was nice but the resturant was dirty, paisa waste lagyo 💔",2,2022-08-13,english,1,1,food
"went there with family, food was very good but very expensive, kids enjoyed but wallet cried lol, overall ok ok",3,2023-03-09,english,0,0,food
bus seat was comfortable and music was okay and driver drove carefully.. thik cha overall thik cha,4,2024-04-30,code_mixed,1,2,transportation
bag quality dami and color ramro dherai ramro. no issue till now 🔥,5,2023-04-28,code_mixed,1,2,product
idk why people rate this 5 star. food was average. service was slow. overpriced lol.,2,2023-11-08,code_mixed,0,0,food
PAISA WASTE PAISA WASTE.. this product is khattam.. i bought it for my mom and it stopped working in 3 day.. sala cheap quality.. never buy from this shop never,1,2024-02-28,code_mixed,1,3,product
babbal dami 💯,5,2024-01-30,romanized_nepali,1,2,food
dami service cha. fast fast delivery. product intact aayo. happy 😊,5,2023-03-26,romanized_nepali,1,1,product
the headphones sound quality was ok. not great not bad. but the ear cushions fell off after 1 month. expected better for this price tbh,2,2023-07-08,english,0,0,product
guy talk rudee but place clean. mix feel mix feel 🤔,3,2024-12-01,english,0,0,services
fastt fast,5,2022-06-06,english,0,0,transportation
service thik cha but a bit slow,3,2024-10-25,english,0,0,services
"Chowmein 45 min pachi aayo, jhyau lagyo kasto wait garnu paryo",2,2025-01-05,romanized_nepali,1,1,food
"idk why people rate this high, food was so so, nothing special tbh",2,2023-11-16,english,0,0,food
ramro cha yaar this noodle shop.. momo ramro and thukpa also mitho.. will come back come back,5,2024-04-12,code_mixed,1,2,hotel_restaurant
nice 🔥 will order again,5,2025-04-10,english,0,0,product
i call guy for net fix and then he say 10 min but come after 1 hr i sit and sit jhyau jhyau but fix fast fast net run smooth smooth so ok now,4,2025-07-17,code_mixed,1,1,services
the phone screen is so clear and battery last long.. dami phone dami.. paisa vasool yaar 🔥,5,2024-01-14,code_mixed,1,2,product
ramailo place 😊,4,2024-11-11,code_mixed,1,1,hotel_restaurant
Scooter rental process was simple but price felt high,4,2025-03-05,english,0,0,transportation
tbh food is ok ok but price too high for this quality,2,2024-02-10,english,0,0,food
dami cha yaar🤯🤯,5,2023-09-08,romanized_nepali,1,1,hotel_restaurant
earphone sound dami and bass khatrai. ramro dherai ramro,5,2024-09-19,code_mixed,1,2,product
food was good. place was clean. price was fair. will visit again with friends. jakaas.,5,2022-07-09,code_mixed,1,1,food
ok ok trip nothing great driver thiyo rude bit,2,2022-10-29,english,0,0,transportation
ok big rant big rant so i go there with fam fam think chill chill but table dirty dirty floor sticky sticky i say bro clean clean he nod nod but no move no move i wait wait jhyau jhyau then food come late late soup cold cold rice dry dry this is very bad this is very bad i mad mad mom sad sad dad quiet quiet we eat half half pay bill full full paisa waste time waste paisa waste time waste i swear no go no go overall lastai jhyau thiyo,1,2025-11-11,code_mixed,1,2,food
"delivery boy rude thiyo, packet pani damage thiyo, never ordering again from here",1,2023-06-05,english,0,0,product
place vibe ramailo and light nice and then pic nice 📸,5,2023-02-20,code_mixed,0,0,hotel_restaurant
bus was late by 1 hour and driver was so rude bro. paisa waste totally. jhyau lagyo malaai.,1,2023-07-30,code_mixed,1,2,transportation
khana ramailo thiyo. staff friendly thiyo. sahi ho place,4,2023-08-27,romanized_nepali,1,1,food
lastai waste bro,1,2022-12-05,code_mixed,1,1,services
"driver le rash drive garyo, lastai darr lagyo, seat belt pani thiena, bijog transport service ho yo",1,2024-08-27,romanized_nepali,1,2,transportation
ramro dherai ramro service and fast reply. paisa vasool 😊,5,2024-04-04,code_mixed,1,2,services
"Hotel Annapurna room ekdam clean and spacious, staff pani helpful thiyo",5,2025-01-27,code_mixed,0,0,hotel_restaurant
nice vibe good food good price. loved it tbh,4,2024-05-28,english,0,0,hotel_restaurant
saman quality thik cha. price acceptable. overall ok,3,2024-06-15,romanized_nepali,0,0,product
khana aayo cold and oily. very bad quality. sala resturant. jhyau matra,1,2024-11-11,code_mixed,1,2,food
tshirt dami and color ramro dherai ramro,5,2022-01-30,code_mixed,1,2,product
"khana mitho thiyo but place dirty thiyo, fly pani thiyo table ma, ekdamai jhyau lagyo😠😠",1,2022-10-07,romanized_nepali,1,2,food
ramro dherai ramro tea and snack and chat fun fun,5,2022-01-15,code_mixed,1,1,hotel_restaurant
ekdamai mitho thiyo khana. dherai ramo. price pani thik thiyo. jakas cha,5,2024-02-14,romanized_nepali,1,2,food
"Chicken chowmein order gareko 30 min pachi aayo, taste chai okay-ish thiyo but ali oily lagyo",3,2025-01-22,code_mixed,0,0,food
"Sandwich was super fresh and filling, felt satisfied",5,2025-01-17,english,0,0,food
lastai dami thiyo yaar the masswage service.. they were professional and price was okay also.. ramro ramro will go again paisa vasool,5,2024-07-13,code_mixed,1,2,services
"product ramro cha, price pani thik cha",4,2022-11-08,romanized_nepali,1,1,product
umm food was ok. nothing great nothing terrible. staff ignored us a bit but not rude. idk 3 star feels right,3,2023-07-17,english,0,0,food
waste of money bro waste,1,2023-03-12,english,0,0,food
"I ordered this product for my mom and then the box came broken and then inside pani damaged thiyo, tried to return but customer service didnt pick up. called 4 times. FOUR TIMES. very bad very bad service. paisa waste. khattam company",1,2023-03-02,code_mixed,1,4,product
earphone is dami cha.. sound clear hai and bass also good.. paisa vasool for the price,5,2023-12-28,code_mixed,1,2,product
dami cha yaar,5,2023-09-08,romanized_nepali,1,1,hotel_restaurant
ramro thiyo overall,4,2022-12-31,romanized_nepali,1,1,hotel_restaurant
baal chalcha,1,2022-07-14,romanized_nepali,1,2,transportation
ramro cha hotel. check in fast thiyo. bed comfortable. wifi speed ramro thiyo. dami stay 😊,5,2023-04-05,romanized_nepali,1,1,hotel_restaurant
lastai dami thiyo yaar the massage service.. they were professional and price was okay also.. ramro ramro will go again paisa vasool,5,2024-07-13,code_mixed,1,2,services
hotel ramro dherai ramro and staff babbal. paisa vasool feel 😊,5,2024-10-10,code_mixed,1,3,hotel_restaurant
baal cha sala. jhyau lagyo mero,1,2024-05-12,romanized_nepali,1,2,services
"khana mitho thiyo ekdamai, price pani ramro thiyo, staff pani friendly thiyo, definitely aauchu feri",5,2023-09-08,romanized_nepali,1,1,food
"product quality is not that bad tbh, but delivery was very very slow took 5 days extra",3,2024-04-01,english,0,0,product
"came here twice already, the vibe is ok but they keep forgetting items in the order lol very annoying",2,2023-05-30,english,0,0,hotel_restaurant
"product quality ramro thiyo but price chai dherai mahango lagyo, not worth it yaar",2,2023-07-02,code_mixed,1,1,product
guff guff guff.. the guide was just talking and talking and did not show us anything good.. baal tour this was,1,2022-08-09,romanized_nepali,1,2,services
ekdam jhur product yo. dherai paisa tiryo waste bhayo,1,2022-08-31,romanized_nepali,1,2,product
ramro service cha yaar.. they fixed my fridge fast and price was also okay.. sahi ho sahi ho will call again,5,2023-04-24,code_mixed,1,2,services
hotel ramro dherai ramro and breakfast mitho. paisa vasool 😊,5,2025-12-12,code_mixed,1,3,hotel_restaurant
baal,1,2023-03-07,romanized_nepali,1,1,services
service thik cha but mood off staff. chalcha for now,3,2025-05-14,romanized_nepali,1,1,services
ramailo thiyo visit 😊,4,2025-01-19,romanized_nepali,1,1,hotel_restaurant
"WiFi speed average, sometimes slow sometimes fine",3,2025-02-03,english,0,0,hotel_restaurant
ride smooth and driver dai sahi ho. no jhyau today,5,2025-08-18,code_mixed,1,1,transportation
ramro dherai ramro aati nai ramro hai staff sahi ho and then tea mitho,5,2025-07-07,code_mixed,1,1,hotel_restaurant
ride smooth and smooth again. sahi ho,5,2024-09-09,code_mixed,1,1,transportation
bus chiyena on time. 45 min late. then driver le loud music bajayo whole trip. sleep garna sakina. jhyau,2,2024-06-30,code_mixed,1,1,transportation
Tootle ma booking confirm bhayo tara driver cancel garyo last moment ma,2,2025-02-28,code_mixed,1,1,transportation
"i went to this place with high hopes because my friend said it was dami. but bro. food was bland, service was slow, place was dirty. my friend has bad taste i think. not worth it. lastai jhyau thiyo. paisa waste",1,2024-06-25,code_mixed,1,3,food
room service le 3 palta call garyo and then no one answered. went down to reception and then they said busy bhanyo. bro it is 9pm on a tuesday. not that busy. baal hotel. bijog service,1,2023-01-19,code_mixed,1,2,hotel_restaurant
ramro dherai ramro taste mitho and then i eat more more,5,2023-03-30,code_mixed,1,1,food
room ma cockroach dekha paro. COCKROACH bro. lastai baal cha yo hotel. paisa waste. never staying here again. bijog cha,1,2023-05-09,code_mixed,1,3,hotel_restaurant
"Donut tasted old, not fresh at all sadly",1,2025-01-21,english,0,0,food
ekdamai kharab service. called 5 times nobody picked. 5 TIMES BRO. what is this service. lastai jhur cha,1,2023-07-21,code_mixed,1,2,services
"Reception ma check-in slow, tara room ma gayera thik chha",3,2025-02-08,romanized_nepali,1,1,hotel_restaurant
"product quality uff, lastai ramro thiyo, dherai khusi thiye, definitely kinchu feri",5,2023-06-29,romanized_nepali,1,1,product
dami cha yar,5,2024-10-15,romanized_nepali,1,1,food
thik cha hotel yar. expected more for that price but it was clean. ok ok experience,3,2023-01-31,code_mixed,0,0,hotel_restaurant
"nice nice place, vibe good, will come again with frends",4,2024-06-22,english,0,0,hotel_restaurant
"paisa vasool cha yo trip, sahi cha driver pani",5,2023-05-12,romanized_nepali,1,2,transportation
taste nice nice spice right right love love,5,2025-02-02,english,0,0,food
so my experience with this bank app was full bijog bro. i sent money and then it debited from my account and then receiver got nothing. and then i called helpline and then hold ma rakhyo 45 min. and then finally agent aayo and then she said please wait 3-5 working days bhanyo. 3-5 DAYS for urgent payment?? sala. this is very bad. baal app. and then 6th day pani nai aayena money. had to go branch physically. branch ma pani 1 hour wait. total khattam experience. i don't like this trash system. paisa gatey gayo tension ma. never using this app again if i can help it. lastai jhyau thiyo yar seriously i am still angry,1,2023-12-06,code_mixed,1,5,services
honestly the cafe was cute and vibe was good. coffee mitho thiyo. price bit high but ok for the ambience. would go again maybe 😊,4,2023-08-18,code_mixed,1,2,food
slowww,2,2022-12-12,english,0,0,services
ride cheap cheap seat ok ok road rough rough but reach quick quick paisa vasool,4,2022-12-12,code_mixed,1,1,transportation
ramro dherai ramro cafe and chill vibe. paisa vasool,5,2022-12-24,code_mixed,1,2,hotel_restaurant
