review_text,review_date,rating,language_style,has_slang,slang_count
"finally received the product; very early then the mentioned date; the product looked premium and heavy too. lets see how it performs, thanks daraz n seller; delivery boy is nice  ",28-Oct-24,3,english,0,0
Ultima ko yo product Lida Hunxa Hai sathi haru.! Everything was pack safe and parcel was in good condition to.! ,7-Jan-25,3,code_mixed,0,0
Eyeshado shining ma xa ,19-Jun-22,3,code_mixed,0,0
it was a good product same as the picture  ,2-Jun-25,5,english,0,0
not as expected ,11-Aug-24,5,english,0,0
biscuit mitho cha.,20-Aug-25,5,romanized_nepali,0,0
aru bhanda thikai lagyo malai ,11-Feb-22,5,romanized_nepali,0,0
It said 13 but I got only 12. Nevermind the brushes were softt and nice❤️ ,8-Aug-25,5,english,1,1
according to the price the product is quite good bt one brush was a bit damage ,1-Aug-25,5,english,0,0
good product with reasonable prices  ,22-Jul-25,5,english,0,0
it's kinda awesome I guess I already used it for 3 days and is very useful ❤️😍❣️ ,23-Jan-25,5,english,1,1
"pocket maa rakhera katai jana na sakne """,12-Aug-25,1,romanized_nepali,0,0
I have no idea about the makeup brushes as i am no professional but they are in good condition so i like it.   Arulai ni suggest garxu babal bhanera,10-Aug-25,5,code_mixed,1,1
good ❤️,24-Nov-23,5,english,0,0
Loved it and the delivery was so fast. Will purchase more in the future ❤️ ,11-Nov-24,1,english,0,0
Hot and cold and I and man paryo,14-Oct-25,5,code_mixed,0,0
"highly recommended who are searching a quality powerbank in budget. if your phone has the type of fast charge listed in the box then go for it (quick charge 3.0, vooc, warp etc). charging speed is excellent. packaging is great. but if your phone only supports a certain watt of charging speed (like 15 or 18 watt only) it will not charge faster than that your phone should atleast have 25watt of fast charging to enjoy the fast charge supported by powerbank (for those who complain why their's don't charge fast). go for it ❤️ ",7-Oct-25,5,english,2,2
The product I have received has a faulty display where the display of the charge capacity is incomplete. ,20-Jul-25,3,english,0,0
nice product got it fast thanks ultimate and daraz for this iteam  ,1-Aug-25,5,english,0,0
Piro khana na sakne le na khanu mutu dukhera dhannai marena ma  ,16-Apr-25,5,romanized_nepali,0,0
Would have been better if charging was faster in and out. ,7-Sep-25,5,english,0,0
Best stuff. Nicely cleaned my puppy. I love the product. 👍 good choice 👍,20-Apr-25,1,english,0,0
Got in in excellent condition ,7-Oct-25,5,english,0,0
I just loved this product ❤️ ,23-Aug-24,3,english,0,0
got the order good  yeti paisa ma its good ,3-Nov-25,4,code_mixed,0,0
why the bill amount and paid amount is different?? ,14-Nov-24,3,english,0,0
good quality ,20-May-24,2,english,0,0
the family went mad for this product it really good sablai suggest grxu,21-Nov-25,3,code_mixed,0,0
wow ,31-Aug-25,5,english,0,0
kapal korna lai ramor xa hai,9-Nov-25,1,romanized_nepali,0,0
"Absolutely worth it if u are doing a challange w/ friends or testing your tolerance. But, it's like a one and done and ramro.",19-Oct-25,1,code_mixed,0,0
"Yo suru ma thikai thiyo tara aile aayara awaj aaunu lagyo 
Wire jodeko thau bata. 😖 ",2 weeks ago,3,romanized_nepali,0,0
"16000 mAh ko ho jasto lago malai. Yatiko hunu ramrai ho. 22.5 watt hoina 15-18 watt chahi hola. 
Je hos ma khushi chhu.  5 star nai ho ",19-Nov-24,3,romanized_nepali,0,0
nice product  ,25-Sep-25,2,english,0,0
Thankyou so much 🙂 does its work perfectly... self clean bhakole dherai easy hune raicha 🥰 ,10-Jun-24,5,code_mixed,0,0
ramro product but smaller than i expected otherwise it is good in this price segment ,16-Oct-25,2,code_mixed,0,0
so good,26-Mar-24,4,english,0,0
haitt baball xa hai yo chahi sabaima ,13-Jun-25,2,romanized_nepali,2,2
"budeshi lai matrai ho piro lagne 
nepali , indian lai lagdaina current noodel bhanda ni kaam piro xa 2x jasto ho la  ",15-Nov-24,2,romanized_nepali,0,0
Looks good quality. Arrived in time.  ,5-May-25,3,english,0,0
nice thank you daraz for this brush set,6-Apr-22,2,english,0,0
It's Good Product ❣️,23-Feb-23,5,english,0,0
nice n useful ,23-Sep-25,4,romanized_nepali,0,0
went up to 15 W max on samsung s24 ultra. Did not go up to 22.5 W as advertised. ,19-Nov-24,5,english,0,0
Not so spicy. I will suggested you not to buy ,14-Dec-24,1,english,0,0
Price anusar ta thickai hola . Yo 20000 mah lekhe pani kam chai 10000mahko jati matra gari ra chha jasto lagchha malai . Iphone 14 ma 30% charge huda backup 100% bata ghatera 84% ma aako chha . Hisab lagau ta Hajur k ho? ,7 days ago,3,romanized_nepali,1,1
It's a good product. The brush are soft. ,8-Oct-25,5,english,0,0
loved this product,6-Aug-25,5,english,0,0
It was clean and the quality was good❤️ ,2 weeks ago,5,english,0,0
"Good quality product, good packaging. Delevery took 6 days , all though the product is good. Let’s see how it goes , ",19-Nov-24,3,english,0,0
ramrai xa aru k bhanne aba thikai lagyo  ,24-Nov-23,1,romanized_nepali,0,0
"looks good, feels far better than regular shoes ",18-Nov-24,5,english,0,0
Nice product with prompt delivery. My daughter likes it. Thank you ,8-Jul-25,5,english,0,0
not so spicy ,9-Dec-24,5,english,0,0
product yekdam ramro xaa rw packing pani dherai ramro lagyoo delivery pani xito hune raixa khusi layooo rw price ni sasto raixaa thank you daraz ❤️,23-Jun-25,5,code_mixed,0,0
its a good product working nicely i use it it is best  ,26-Nov-25,3,english,0,0
Nice but why wont it charge itself faster its been 4 hours? ,14-Dec-25,2,english,0,0
In this prize segment product is waw❤️💕 ,19-Nov-24,5,code_mixed,0,0
Best powerbank quality is very good ,30-Jul-25,5,english,0,0
so good ,10-Jun-25,5,english,0,0
not as spicy as expected.......... ,30-May-25,3,english,0,0
"Mero phone ko 64 charge theyo powerbank ko 79 
aila some minute mero charge 70 vayo powerbank ko 77 
so i think 10000Mah ko ho jasto xa 20k vako va ta 1 percent la mero phone around 6 percent hunu partheyo poisa matra sasto kam ta hawa raixa charge 22.5 chai hoina 15w ko cha haii 7 days paxi herxu ani review dinxu 🥲 ",16-Nov-24,1,romanized_nepali,0,0
it's good & delivery also before time whts they mention !,5-Jul-24,5,english,0,0
I like it 👍 ,23-Jan-26,5,english,0,0
Good service. delivered on time.,8-Sep-21,5,english,0,0
Just got my hands on the product. Its a great buy ,13-Oct-25,2,english,0,0
it works I love it 😀  ,12-Nov-25,2,english,0,0
Sunsilk Hairfall Solution shampoo 625ml Free,2-Jan-26,1,english,0,0
Nice Product ,17-Nov-24,5,english,0,0
Very food quality product. Obtained as expected. Thank you!!! Dherai maya,28-Jan-26,5,code_mixed,0,0
Good Product 👍  ,22-Aug-24,5,english,0,0
ramrai xa full charge garera 3.5 choti mero mobile charge gare 😘💞👌I recommend for all to buy blindly 💞😘💐 ,19-Oct-24,5,code_mixed,0,0
Good power bank useful item ,2 weeks ago,5,english,0,0
Received expired date ,18-May-24,1,english,0,0
Very good,1 week ago,2,english,0,0
Eakdam babal quality ❤️ Last man paro 🫶 Thank you s ,7-Oct-25,3,romanized_nepali,1,1
the brush was soft yet effective to comb out my dog's hair. satisfied with the product and on time delivery. thanks.  ,26-May-25,5,english,0,0
Nice. Charges other quickly but takes time itself to be charged ,2 weeks ago,2,english,0,0
Baccha ra thulo both ko lagi hunxa yo. Light lay garda use garna easy xa.,17-Jan-26,5,code_mixed,0,0
There was no mother.  tastes like wine and not as cider vinegar. ,5-Aug-24,2,english,0,0
These brushes are really nice and good for day to day office & College makeup. I got all 13 brushes with velvet pouch. Liked it 😊💚🖌️💆. Thank you for the genuine product 🙏❤️ ,3-Jan-25,2,english,0,0
"Tara Ali smell maan parena. """,11-Apr-25,1,code_mixed,0,0
loved this product  ,6-Aug-25,5,english,0,0
overall product quality is satisfed . But I found same product in Rs 1799 in daraz 11:11. so how this is happened.  If its actual price was same I had mention there then you have to refund amount which comes in difference between the prices. thank you ,12-Nov-24,1,english,0,0
Aru sugar free biscuit vanda yo chai malai dherai mitho lageyo,11-Mar-25,5,romanized_nepali,0,0
"Very useful power bank! I’ve been using it for almost a month, and it’s totally worth it. Charges fast, and if your phone already has decent battery backup, this can easily handle long trips. Minimalistic design and overall a solid 10/10.",4-Nov-25,5,english,0,0
"Packing is good , let’s use it than I can say many more about product ",9-Aug-25,5,english,0,0
just wow...good for snacks time mitho ni xa,22-Sep-22,5,code_mixed,0,0
not so bad ,9-Sep-24,5,english,0,0
quality thikai cha  ,19-Jan-25,1,code_mixed,0,0
"Very useful power bank! I’ve been using it for almost a month, and it’s totally worth it. Charges fast, and if your phone already has decent battery backup, this can easily handle long trips. Minimalistic design and overall a solid 10/10. ",4-Nov-25,5,english,0,0
Aru brand bhanda 1 size thulo raicha. EU 38 bhaneko size 5 ho. Tara esma size 6 audo raicha. So ek size sano kinda huncha. Tara price anusar quality ramro cha.,26-Jun-24,5,code_mixed,0,0
Ekdam ramro xa. Mero skin pores haru dherai minimise gareko jasto lagdaixa.,17-Dec-25,5,code_mixed,0,0
malai ekdam man pareki saman ,30-Jun-25,5,romanized_nepali,0,0
very useful  ,7-Jun-25,5,english,0,0
looks solid. will move out to test how mant times cab charhe phone ,27-Sep-25,5,english,0,0
I just got my product today but I think there is some problem 😕 with the port and while charging powerbank it is not increasing from 86 %  ,18-Aug-25,5,english,0,0
saman eakdam ramro lagyo malai chai  ,17-Nov-24,5,romanized_nepali,0,0
"got today, everything good, will use it for some days and give a follow up, charging powerbank takes time and charge deplete quick but other then that its good ",26-Aug-25,3,english,0,0
one of best fast charging power bank ,15-Jan-26,5,english,0,0
After 3 days paxi Saman delivery vayo Tara kei xoina expections v/s reality same paye 😇 maile use Pani garirako xu mero face oily xa Tara ekdam suit gareko xa plus smell mitho xa Tara Ali Kada scent xa overall packaging haru sabai ekdam good xa 👍👍💞💞,18-Dec-25,5,code_mixed,1,1
Poor quality  ,13-Jan-26,1,english,0,0
green is a good color. but don't expect it to be good as other mhago one . it's good for those who just want to start with small steps .,2-May-25,5,code_mixed,0,0
nice quality satisfy with this product. thank you  ,4-Dec-25,5,english,0,0
"Not as spicy as i thought, way too overhyped as the spicy thing, it only felt spicy when i drank hot water after eating it. it can be a good experience as a first time tho. ",3-Jan-26,2,english,1,1
watetproof vanera order gareko ramro rahexa. ,17-Dec-25,5,code_mixed,0,0
I have no idea about the makeup brushes as i am no professional but they are in good condition so i like it.and arulai ni sugest garxu babal bhanera,10-Aug-25,5,code_mixed,1,1
wayy smaller than i thought but its soft and easy to use ig  ,17-Aug-25,5,english,1,1
"Charging thikai hunxa , Ramrai charge tikxa , mailey Rs 1850 mah kinney , price anusar ko product Babal lagyo malai . If you are looking for the power bank and your the budget is around 2000 then go for it .  ",8-Jan-26,5,code_mixed,1,1
"i previously used 10k, it was very useful, thus reorder this one ",4-Jan-26,5,english,0,0
Ramro,26-Mar-22,5,romanized_nepali,0,0
op nice so pretty  ,18-Apr-25,5,english,1,1
Brand new product produce hissing sound with over heating around the connecting ports during fast charge. self discontinue fast charge after some time. ,18-Jan-26,1,english,0,0
attiko price lai nice product.. delivery pani fast..❤️‍🩹 ,9-Apr-25,5,code_mixed,0,0
good quality power bank. has 3 output ports to support both fast and slow charging. it is quiet bulky being based on li-ion technology.  ,17-Nov-25,1,english,1,1
ultima ley packing chai ramro garer pathauni raixa khusi lagyo product n ramro lagyo weight n xa  ,25-Jul-25,5,romanized_nepali,0,0
comes with little pouch... ekdam worth cha price anusar  ,12-Mar-25,5,code_mixed,0,0
This grooming brush is easy to hold and gentle on fur. It removes loose hair well and keeps pets clean and comfortable. Good for daily brushing for dogs and cats easily.,5-Feb-26,3,english,1,1
excellent 👌👍 and babaal,26-Jul-25,1,code_mixed,1,1
gharma sabailai man paryo ramro😂😂😂 ,4-Aug-24,5,romanized_nepali,0,0
Durable product. Will get scratched but its good for the kids as can be wiped with wet towel. Thats how I do it. Rmaro lagyo,4-Feb-26,5,code_mixed,0,0
Thorai paisama yetiramro aayo I’ma khusi xu😊 ,2-Aug-25,5,romanized_nepali,0,0
the shoes are good but it took to long to be delivered.. way past the delivery date provided ,3-Dec-25,4,english,0,0
ramro n helpful product❤ ,4 days ago,5,code_mixed,0,0
"I recently purchased this power bank, and I'm extremely impressed with its overall performance. The build quality is awesome, and it feels very durable. The delivery time was excellent, arriving promptly as promised. Additionally, the packaging was awesome and kept the power bank secure during transit. I highly recommend this product to everyone. However, please note that it doesn't charge at the advertised 22.5 watts. Based on my experience, it charges my mobile at around 10 to 15 watts. Overall, it's an awesome power bank with fantastic quality and reliability ",14-Nov-24,4,english,1,1
It good but need to carry extra cable  ,29-Sep-25,4,english,0,0
akdam ramro shoes xa dhukka vayera order garnus sasto Pani utkrista Pani jhanjhatilo ni vayena order ko Saman daraz le time dhoka Mai lyaidinu hunxa k chaiyo yo vanda akdam best shoes ⭐⭐⭐⭐⭐ ,26-May-25,5,romanized_nepali,1,1
It’s nice shoe and comfortable for kids..,5-Jun-24,4,english,0,0
"Soft, smooth, and easy to use. Blends makeup evenly and feels gentle on the skin. ",18-Jan-26,4,english,0,0
It’s good🤍 ani sabiale kina paxi siddiyo bhane lyang hunxa ,28-Mar-25,2,code_mixed,1,1
Omg To much spicy 🌶️  ,10-Mar-25,5,english,0,0
M size vanako l size pathaunu vha xa.. ,24-Dec-25,5,romanized_nepali,0,0
good but order one size small 38 fits to 39  ,20-Jul-25,5,english,0,0
Awesome product. Helping me alot in everyday usages ,29-Oct-25,5,english,0,0
good One Yesle 3 Tai ports bata charge output garna mildo raixa even type c to c pani  ,17-Oct-25,3,english,0,0
super satisfied  ,15-Nov-24,5,english,0,0
nice bling bling 💎💠,5-Jan-26,5,english,0,0
Quality is poor ,19-Oct-23,1,english,0,0
The product is really fantastic as seen before delivery in the daraz app. there is no any difference.the power bank has wild  charging power and it looks sexy black in colour . ,25-Sep-25,5,english,1,1
"power bank KO size Pani Tara Charing hour chai Ali dherai raixa Tara yetiko range ma over all good nai xa vanam  """,6-Oct-25,2,code_mixed,0,0
man paryo ramro xa ani babal,4 weeks ago,5,romanized_nepali,1,1
jacket ramro xa but M size ko order gareko L size ko ayexa.4inch 2side bata silai hane paxi balla vayo.next time size check garera pathauna hola,3 weeks ago,5,code_mixed,0,0
One of the brush was broken and I didnt like the quality that much. But for the price its okay.  ,17-Sep-25,5,english,0,0
thikai cha tyasto kharba ni xaina ,22-Jan-26,5,romanized_nepali,0,0
Ramirai xa … 2500/-   Ma order gariyo ko 2nd din mai 1900/- ma offer ma theyo Tyo price ma pako bhae unbeatable jo huntheyo…. Tara thikai xa overall ramrai layo….. ,5 days ago,5,code_mixed,0,0
I liked the product very much. better than expected  ,19-Nov-24,5,english,0,0
tbh it's really good you can feel free to oder it I have already used it  ,3-Nov-25,5,english,0,0
"Very Fast delivery. Thank U Daraz as well as Ultima for fastest delivery. Arrived on 1 day after ordering. Overall, everything is best. Fully satisfied Ultima. ",17-Sep-25,5,english,0,0
Aru sugar free biscuit vanda yo chai malai dherai mitho lageyo ,11-Mar-25,5,romanized_nepali,0,0
akdam ramro chha..,4-May-25,5,romanized_nepali,1,1
The Ultima Boost 20k Pro is amazing. It charges my phone incredibly fast and lasts for days! ,23-Dec-25,5,english,0,0
worst product I have ever get in daraz paisa matra kharcha hunxa aaru kehe pani hudaina  ,22-Jan-26,1,code_mixed,0,0
not bad ,17-Aug-25,5,english,0,0
good delivery time with good rider ,10-Feb-25,5,english,0,0
"loved it 
non greasy, absorbs and moisturizes well
thankyou 👍🏽",30-Apr-25,5,english,0,0
Quality of shoes are good tara size doesn’t fit. I want to exchange the shoes. ,26-Dec-25,5,code_mixed,0,0
nice ,8-Aug-24,3,english,0,0
nice ali kati thulo vayo change garna milxa ki nai hola,20-Nov-23,4,code_mixed,0,0
