review_text,rating,date,language_style,has_slang,slang_count,domain
Cleaning service babbal cha. Ghartu safa bhayo.,5,8/8/2024,romanized_nepali,1,1,services
Hotel room was messy. AC was not working properly.,1,6/30/2022,english,0,0,hotel_restaurant
Chiya mitho thyo. Malai lastai maan paryo.,5,4/14/2024,romanized_nepali,1,2,food
The phone case turned yellow in just a month. Not recommended.,2,12/5/2023,english,0,0,product
Taxi ride expensive thyo tara emergency thyo so okay.,3,9/17/2022,code_mixed,0,0,transportation
Plumber timely aayo and fixed the leak quickly.,5,2/1/2025,english,0,0,services
Restaurant ko view dami thiyo tara khana mahango cha.,4,10/10/2024,code_mixed,1,1,hotel_restaurant
Burger was juicy and fresh. Price is very reasonable.,5,5/25/2023,english,0,0,food
Speaker ko sound dami cha. Paisa vasool product.,5,3/3/2024,code_mixed,1,2,product
Scooter ko servicing ma thagi garyo. Lastai jhyau.,1,7/15/2022,romanized_nepali,1,1,transportation
Gym is overcrowded during peak hours. Otherwise okay.,3,11/29/2023,english,0,0,services
Staff haru helpful thie tara checkout process slow thyo.,3,1/18/2024,code_mixed,0,0,hotel_restaurant
Momo ko size dherai sano bhayo. Taste chai thik thiyo.,3,6/12/2023,romanized_nepali,1,1,food
The laptop heating up quickly. Need to visit service center.,2,8/21/2024,english,0,0,product
Driver was speeding too much. Not a safe ride.,2,10/5/2023,english,0,0,transportation
Wifi speed slow vayera jhyau vayo. Support pani helpful chaina.,2,4/10/2022,code_mixed,1,1,services
Breakfast was great. Kasto ramailo experience thyo hotel ma.,5,9/12/2024,code_mixed,1,1,hotel_restaurant
Keema noodles lastai spicy thyo. Piro khana nasakne lai garo huncha.,4,2/28/2023,romanized_nepali,1,1,food
Powerbank ramro cha tara weight chai ali garo thyo.,4,5/15/2024,code_mixed,1,1,product
Traffic le garda late vayo but rider was nice.,4,12/25/2022,code_mixed,0,0,transportation
Best laundry service in town. Clothes smell so fresh.,5,8/11/2023,english,0,0,services
Room ma light thik thiena. Bathroom pani sano thyo.,2,3/22/2024,romanized_nepali,1,1,hotel_restaurant
Pizza base was thin and crispy. Babbal taste thyo.,5,7/19/2023,code_mixed,1,1,food
Watch battery is draining very fast. Disappointed.,1,5/30/2022,english,0,0,product
Sajha bus was crowded as always but cheap.,3,11/5/2024,code_mixed,0,0,transportation
Ncell signal is very weak here. Call drop huncha.,2,10/24/2023,code_mixed,0,0,services
Dinner was okay but price high lagyo. Staff busy thie.,3,1/30/2025,code_mixed,0,0,hotel_restaurant
Thukpa lastai mitho thyo. Chiso ma babbal bhayo.,5,12/14/2023,romanized_nepali,1,2,food
The keyboard keys are sticking. Not a good product.,2,6/2/2024,english,0,0,product
Rider kasto ramro. Helmet pani clean thyo.,5,9/9/2022,romanized_nepali,1,1,transportation
Beauty parlor thik cha tara price ali mahango cha.,3,4/20/2024,code_mixed,1,1,services
Hotel location is perfect. Walking distance to the lake.,5,1/15/2023,english,0,0,hotel_restaurant
Coffee dherai sweet bhayo. Sugar halnu bhanda agadi sodhnu parthyo.,2,7/11/2024,romanized_nepali,0,0,food
The phone battery life is amazing. Easily lasts two days.,5,11/1/2023,english,0,0,product
Taxi le meter ma gayena. Bargain garna jhyau huncha.,2,10/30/2022,romanized_nepali,1,1,transportation
Internet was down for two days. Support didn't respond.,1,2/24/2024,english,0,0,services
Dinner set was delicious. Paisa vasool vayo.,5,5/10/2023,code_mixed,1,1,hotel_restaurant
Momo was dry. Soup was also not that great.,2,12/5/2024,english,0,0,food
Water bottle leak bhayo bag bhitra. Product ramro chaina.,1,8/27/2023,code_mixed,1,1,product
The bus was late but the seats were very comfortable.,4,3/14/2022,english,0,0,transportation
Courier service was very fast. Got my parcel in one day.,5,9/5/2024,english,0,0,services
Bathroom ma pani aako thiyena morning ma. Very bad.,1,6/21/2023,code_mixed,0,0,hotel_restaurant
Biryani ramro thyo tara quantity ali kam bhayo.,3,1/12/2025,romanized_nepali,1,1,food
Bluetooth speaker sounds babbal for this price.,5,10/14/2023,code_mixed,1,1,product
"Rider was very fast, reached destination in 10 mins.",5,3/30/2024,english,0,0,transportation
E-sewa load garda error aayo. Paisa katyo tara load vayena.,1,11/20/2022,code_mixed,0,0,services
Staffs were very kind. Food was dami too.,5,12/25/2023,code_mixed,1,1,hotel_restaurant
Thakali set was dami. Dhido was also fresh.,5,5/4/2024,code_mixed,1,1,food
Cable wires are weak. Broke after few uses.,2,2/18/2023,english,0,0,product
Pathao ko fare lastai mahango bhako cha aajkal.,2,8/15/2024,romanized_nepali,1,1,transportation
The barber knows what he is doing. Best haircut ever.,5,4/22/2023,english,0,0,services
Pool was not clean. Kids couldn't swim. Disappointing.,2,7/4/2022,english,0,0,hotel_restaurant
Lassi mitho thiyo. Summer ma thik cha.,4,6/10/2024,romanized_nepali,1,1,food
Smart watch sensor is not working correctly.,3,9/28/2023,english,0,0,product
Micro bus dherai khacho thyo. Sit pani comfortable thiena.,2,11/14/2024,romanized_nepali,0,0,transportation
Bank ko server sadhai down huncha. Payment garna jhyau.,1,1/5/2023,code_mixed,1,1,services
Room service was quick. Paisa vasool experience.,5,10/25/2024,code_mixed,1,1,hotel_restaurant
Paneer butter masala dami thyo. Naan was soft.,5,11/19/2023,code_mixed,1,1,food
The jeans color faded after first wash. Low quality.,2,4/15/2022,english,0,0,product
Rider was confused about location but arrived safely.,3,2/8/2024,english,0,0,transportation
Airlines delayed the flight by 4 hours. No information given.,1,7/12/2023,english,0,0,services
Resort ko garden kasto ramailo. Peaceful stay thyo.,5,12/1/2024,code_mixed,1,1,hotel_restaurant
Sekuwa mitho thyo tara ali kado lagyo malai.,3,8/30/2023,romanized_nepali,1,1,food
Laptop skin is good. Easy to apply and looks babbal.,5,4/18/2024,code_mixed,1,1,product
Sajha bus late thiyo. Paila ko jasto time ma audaina.,2,5/12/2022,romanized_nepali,0,0,transportation
Wifi support team is very slow. Response nai audaina.,2,3/22/2023,english,0,0,services
Stay was fine. Staff were thik thak.,3,9/14/2024,code_mixed,1,1,hotel_restaurant
Chowmein kasto oily thyo. Taste thikai thyo.,2,11/5/2023,romanized_nepali,0,0,food
The printer is working well. Setup was a bit difficult.,4,1/25/2024,english,0,0,product
Rider was nice but motorcycle condition was not good.,3,12/10/2022,english,0,0,transportation
Government office kam garna dherai jhyau. Line matrai.,1,6/5/2023,code_mixed,1,1,services
Swimming pool babbal thiyo tara crowd dherai thyo.,4,8/20/2024,code_mixed,1,1,hotel_restaurant
Momo ko achar was the best. Mitho thiyo.,5,10/12/2023,code_mixed,1,1,food
Iron cable short bhayo. Use gareko 1 week mai.,1,2/28/2022,romanized_nepali,0,0,product
Electric scooter is great for city. Saving a lot on fuel.,5,5/15/2024,english,0,0,transportation
Laundry service was late. Clothes not ironed properly.,2,9/2/2023,english,0,0,services
Hotel staff was dami. Quick response to everything.,5,2/12/2024,code_mixed,1,1,hotel_restaurant
Dal bhat thik thyo tara tarkari ali kam bhayo.,3,4/19/2023,romanized_nepali,1,1,food
Mouse is smooth and clicks are silent. Good product.,5,7/22/2024,english,0,0,product
Bus journey was tiring. AC was not cool enough.,2,6/15/2022,english,0,0,transportation
Courier boy politely delivery garyo. Service ramro cha.,5,11/10/2024,code_mixed,1,1,services
Room was clean and spacious. Kasto ramailo vayo stay.,5,12/5/2023,code_mixed,1,1,hotel_restaurant
Keema burger lastai mitho. Must try.,5,3/28/2024,romanized_nepali,1,1,food
Headphones quality is dami but ear pads are tight.,4,5/18/2023,code_mixed,1,1,product
Taxi was clean and driver was professional.,5,8/30/2024,english,0,0,transportation
Internet speed is babbal today. Hopefully stable rahos.,5,10/2/2022,code_mixed,1,1,services
Food service in hotel was too slow. Not happy.,2,1/20/2023,english,0,0,hotel_restaurant
"Chiya was okay, nothing special. Thik thak thyo.",3,9/12/2024,code_mixed,1,1,food
Charging cable charge garna time lagcha. Slow cha.,2,4/4/2023,romanized_nepali,0,0,product
Pathao rider was safe. Helmet was also provided.,5,1/25/2025,english,0,0,transportation
ISP support line busy huncha sadhai. Jhyau lagne.,2,8/14/2022,romanized_nepali,1,1,services
The lobby is very beautiful. Staff are polite.,4,11/22/2023,english,0,0,hotel_restaurant
Sausage dami thyo. Sauce ali mitho bhaye hunthyo.,4,6/8/2024,romanized_nepali,1,1,food
Phone cover quality is not worth the price.,2,12/29/2023,english,0,0,product
Ride was smooth but driver was talking on phone.,3,3/17/2024,english,0,0,transportation
Hospital service lastai slow. Registration kai 1 hour.,1,9/30/2022,code_mixed,1,1,services
Paisa vasool experience. Best hotel in Pokhara.,5,2/5/2025,code_mixed,1,1,hotel_restaurant
Cold coffee was too bitter. Not liked.,2,1/14/2024,english,0,0,food
Water heater works babbal. Chiso ma thik cha.,5,10/9/2023,code_mixed,1,1,product
Micro bus was late and very full. Garro vayo.,2,11/28/2022,code_mixed,0,0,transportation
Fast banking service. ATM works every time.,5,12/10/2024,english,0,0,services
Ambience ramro thyo tara food portion sano lagyo.,3,5/24/2023,code_mixed,1,1,hotel_restaurant
Chicken lollypop lastai dami thiyo.,5,7/2/2024,romanized_nepali,1,2,food
Earbuds one side stopped working. Fraud experience.,1,3/19/2022,english,0,0,product
Rider was polite and ride was cheap too.,5,8/11/2023,english,0,0,transportation
Beauty salon was clean and staff were babbal.,5,11/20/2024,code_mixed,1,1,services
Room walls were too thin. Noise from next room was jhyau.,2,2/15/2023,code_mixed,1,1,hotel_restaurant
Soup was hot and fresh. Thik cha overall.,4,9/8/2024,code_mixed,1,1,food
Flashlight is very bright. Worth the money.,5,12/4/2022,english,0,0,product
Traffic jams everywhere. Late reached today.,3,11/12/2023,english,0,0,transportation
Dishhome signal disturbance during rain. Jhyau lagne.,2,5/20/2024,code_mixed,1,1,services
Best service ever. Highly recommended for tourists.,5,7/25/2022,english,0,0,hotel_restaurant
Ice cream was melting when delivered. Not happy.,2,6/18/2023,english,0,0,food
Table fan makes too much noise. Jhyau vayo.,2,8/1/2024,code_mixed,1,1,product
Rider kasto ramro thiyo. Safe driving.,5,1/9/2023,romanized_nepali,1,1,transportation
Passport office management is terrible. Chaos every time.,1,10/15/2024,english,0,0,services
Hotel view ramro cha tara food mehango cha.,3,9/5/2022,romanized_nepali,1,1,hotel_restaurant
Momo mitho cha tara queue lastai thulo huncha.,4,12/22/2023,romanized_nepali,1,1,food
Keyboard looks dami with RGB light.,5,4/10/2024,code_mixed,1,1,product
Bike servicing ramro bhayo. Engine sound babbal cha.,5,11/19/2022,code_mixed,1,1,transportation
The hospital staff were very professional.,5,7/30/2023,english,0,0,services
Breakfast menu limited thyo. Taste thikai cha.,3,2/5/2024,code_mixed,1,1,hotel_restaurant
Burger was soggy. Not fresh at all.,1,3/12/2023,english,0,0,food
Iron heats up quickly. Good for the price.,4,9/20/2024,english,0,0,product
Rider was late but polite. Traffic was bad.,4,4/15/2022,english,0,0,transportation
Internet support always busy. Lastai jhyau.,2,11/28/2023,code_mixed,1,1,services
Paisa vasool hotel. Room kasto thulo thiyo.,5,6/15/2024,romanized_nepali,1,1,hotel_restaurant
Coffee and cake combination was babbal.,5,5/10/2023,code_mixed,1,1,food
The trimmer stopped working in 3 months.,2,8/22/2022,english,0,0,product
Indrive driver charged more than app price.,1,12/5/2024,english,0,0,transportation
Gym ko fees mahango cha tara environment babbal.,4,10/18/2023,code_mixed,1,1,services
The garden view room was great. Paisa vasool.,5,1/12/2024,code_mixed,1,1,hotel_restaurant
Fried rice thik thyo tara salt dherai bhayecha.,3,11/30/2022,romanized_nepali,1,1,food
Bag color is different than the photo.,2,2/20/2023,english,0,0,product
Pathao ride was convenient. Safely reached.,5,9/11/2024,english,0,0,transportation
Customer service was very helpful with my query.,5,5/2/2022,english,0,0,services
Hot shower worked well. Room was warm.,5,12/14/2023,english,0,0,hotel_restaurant
Samosa kasto mitho. Fresh thiyo.,5,3/25/2024,romanized_nepali,1,1,food
Bottle cap is leaking. Not happy with quality.,2,1/18/2023,english,0,0,product
Rider was smoking during the ride. Very bad.,1,7/22/2024,english,0,0,transportation
Payment failed but amount deducted. Fix it.,1,12/10/2022,english,0,0,services
Dinner was delay but taste dami thyo.,4,10/30/2023,code_mixed,1,1,hotel_restaurant
Ice cream selection was huge. Babbal cha.,5,11/4/2024,code_mixed,1,1,food
The watch strap is comfortable. Nice design.,5,4/12/2023,english,0,0,product
Micro ride lastai garo. Seat xaina.,2,9/14/2022,code_mixed,1,1,transportation
Laundry service ramro cha. Kapada safa cha.,4,1/20/2024,romanized_nepali,1,1,services
Stay was comfortable. Friendly environment.,4,6/28/2023,english,0,0,hotel_restaurant
Cold drinks were not cold. Service poor.,2,5/19/2024,english,0,0,food
Heater works fine. Light weight cha.,4,2/11/2023,code_mixed,1,1,product
Traffic le garda 1 hour lagyo today.,3,10/25/2022,code_mixed,0,0,transportation
Bank account open garna lastai jhyau line thyo.,2,8/30/2024,code_mixed,1,1,services
Staffs are polite. View is babbal.,5,9/12/2023,code_mixed,1,1,hotel_restaurant
Khaja set thik thak thiyo. Price is okay.,3,12/14/2024,code_mixed,1,1,food
Mobile display cracked in small drop. Low quality.,1,7/4/2022,english,0,0,product
Rider arrived in 2 mins. Super fast.,5,11/20/2023,english,0,0,transportation
Fiber net is down again. Every month problem.,1,3/5/2024,english,0,0,services
Hotel location ramro thiyo. Paisa vasool.,4,6/18/2022,code_mixed,1,1,hotel_restaurant
Tarkari was too spicy. Gas bhayo malai.,2,1/25/2023,code_mixed,0,0,food
Laptop bag is strong. Dherai space cha.,5,10/30/2024,code_mixed,1,1,product
Taxi driver behavior bad. Too much bargaining.,2,5/15/2023,english,0,0,transportation
Customer care fixed the issue quickly.,5,12/28/2022,english,0,0,services
Breakfast thik thak thyo. Staff slow thie.,3,2/14/2024,code_mixed,1,1,hotel_restaurant
Chicken curry kasto mitho. Fresh thiyo.,5,8/8/2023,romanized_nepali,1,1,food
Water tank is high quality. Durable lagyo.,5,4/20/2024,code_mixed,1,1,product
Road condition was bad but rider was careful.,4,3/30/2022,english,0,0,transportation
Mobile recharge slow cha app bata.,3,11/2/2023,code_mixed,0,0,services
Stay was dami. Pool was very clean.,5,1/10/2025,code_mixed,1,1,hotel_restaurant
Lassi quantity dherai kam thyo for the price.,2,6/25/2024,code_mixed,0,0,food
The mouse pad is very soft. Babbal cha.,5,9/14/2023,code_mixed,1,1,product
Public transport is just too crowded.,1,10/10/2022,english,0,0,transportation
Service center was helpful. Problem resolved.,5,11/19/2024,english,0,0,services
Night stay ramro thyo tara AC noise thyo.,3,2/28/2023,code_mixed,1,1,hotel_restaurant
Momo was late but babbal taste.,4,10/2/2024,code_mixed,1,1,food
USB light is useful for studies. Thik cha.,4,7/22/2023,code_mixed,1,1,product
Rider was good but pathao fare is rising.,3,11/15/2022,english,0,0,transportation
ISP support line works sometimes only.,2,5/30/2024,english,0,0,services
Room was too small. Not worth the price.,2,1/14/2023,english,0,0,hotel_restaurant
Khana was dami. Best thakali ever.,5,12/10/2024,code_mixed,1,1,food
Phone cover got dirty very fast.,3,8/5/2022,english,0,0,product
Traffic was jhyau tara rider safely pugayo.,4,6/18/2023,code_mixed,1,1,transportation
Laundry staff was polite. Clothes clean thyo.,5,3/22/2024,code_mixed,1,1,services
Paisa vasool hotel stay experience.,5,12/30/2022,code_mixed,1,1,hotel_restaurant
Veg momo was okay. Sauce mitho thyo.,4,8/11/2024,code_mixed,1,1,food
Cable wires broke after 2 weeks. Poor.,1,4/4/2023,english,0,0,product
Rider was friendly. Overall good ride.,5,9/12/2022,english,0,0,transportation
Internet speed is not as promised. Slow cha.,2,1/25/2024,english,0,0,services
Hotel was great but parking was jhyau.,3,11/20/2023,code_mixed,1,1,hotel_restaurant
Paneer naan was dami. Loved it.,5,7/30/2024,code_mixed,1,1,food
Printer setup was a bit difficult for me.,3,5/18/2022,english,0,0,product
InDrive rider arrived on time today.,5,10/14/2023,english,0,0,transportation
Passport renewal process is just terrible.,1,4/12/2024,english,0,0,services
Garden view was babbal. Room tidy thyo.,5,1/22/2023,code_mixed,1,1,hotel_restaurant
Chicken momo lastai mitho thyo.,5,11/5/2024,romanized_nepali,1,1,food
Fan noise is too much. Bad product.,2,10/30/2022,english,0,0,product
Rider kasto wild driving gareko. Scared.,2,8/11/2023,code_mixed,1,1,transportation
Gym environment is great. Highly recommend.,5,2/14/2024,english,0,0,services
Room service was slow but food thik cha.,3,5/25/2023,code_mixed,1,1,hotel_restaurant
Soup kasto cold thiyo. Disappointed.,2,10/9/2024,code_mixed,1,1,food
Bottle design ramro cha. Easy to carry.,5,9/30/2023,code_mixed,1,1,product
Micro bus dherai khacho thyo. No space.,2,4/12/2022,code_mixed,0,0,transportation
ATM works smoothly. No issues found.,5,1/18/2024,english,0,0,services
Stay was comfortable. Friendly staff.,5,12/5/2023,english,0,0,hotel_restaurant
Fried rice was babbal. Quick service.,5,6/12/2024,code_mixed,1,1,food
T-shirt size not accurate. Small lagyo.,3,11/19/2022,code_mixed,1,1,product
Rider reached location accurately. Nice.,5,3/25/2023,english,0,0,transportation
Fiber net connection is very stable.,5,8/30/2024,english,0,0,services
Breakfast was great. Paisa vasool vayo.,5,7/15/2023,code_mixed,1,1,hotel_restaurant
Momo was thik thak. Service slow thyo.,3,4/10/2024,code_mixed,1,1,food
Laptop skin quality is dami. Looks cool.,5,12/5/2022,code_mixed,1,1,product
Pathao ride was smooth. Safe rider.,5,9/12/2023,english,0,0,transportation
Customer service response was very late.,2,11/10/2024,english,0,0,services
Stay was fine but parking was limited.,3,6/25/2023,english,0,0,hotel_restaurant
Thukpa was babbal. Especially in winter.,5,1/18/2024,code_mixed,1,1,food
Keyboard keys sticking after month.,2,9/30/2022,english,0,0,product
Traffic jams were jhyau today ride ma.,3,11/15/2023,code_mixed,1,1,transportation
Laundry service was very prompt. Nice.,5,5/20/2024,english,0,0,services
Room view was dami. Loved the stay.,5,4/12/2023,code_mixed,1,1,hotel_restaurant
Burger was spicy but mitho thiyo.,4,9/8/2024,code_mixed,1,1,food
Mobile case is thik thak for price.,4,6/18/2022,code_mixed,1,1,product
Rider was professional. Good journey.,5,8/30/2023,english,0,0,transportation
Internet speed is quite slow tonight.,2,12/5/2024,english,0,0,services
Stay was comfortable. Hot water issue.,4,2/14/2023,english,0,0,hotel_restaurant
"Pathao rider kasto ramro thyo, safely pugaidiyo.",5,5/12/2024,romanized_nepali,1,1,transportation
The pizza was cold when it arrived. Very disappointed.,2,11/20/2023,english,0,0,food
Room view dami thiyo tara bathroom ali sano thyo.,4,1/15/2024,code_mixed,1,1,hotel_restaurant
"Delivery lastai fast aayo, product pani thik cha.",5,8/22/2023,code_mixed,1,1,product
Internet provider is so slow. Jhyau lagne response.,1,2/1/2025,code_mixed,1,1,services
"Momo mitho thyo, thik cha price pani.",4,3/30/2024,romanized_nepali,1,1,food
"Taxi driver le meter ma jana mane na, dherai bargaining.",2,6/18/2023,romanized_nepali,0,0,transportation
Excellent service and very polite staff. Highly recommend!,5,9/5/2024,english,0,0,services
"Paisa vasool experience, best hotel in Pokhara.",5,12/10/2022,code_mixed,1,1,hotel_restaurant
The quality of the shoes is very poor. Broke in a week.,1,4/14/2023,english,0,0,product
Food thik thak thyo but service lastai slow thiyo.,3,10/11/2024,code_mixed,1,1,food
Pathao ride was smooth and reached on time.,5,2/25/2023,english,0,0,transportation
"Khana kasto babbal thiyo, try garnu parne thau ho.",5,7/19/2024,romanized_nepali,1,2,food
Product looks different than photos. Disappointed.,2,5/30/2022,english,0,0,product
Staffs were very helpful. Ambience was kasto ramailo.,5,1/8/2025,code_mixed,1,1,hotel_restaurant
"Banking service too slow, euta kam lai ghantau lagcha.",2,11/4/2023,code_mixed,0,0,services
Scooter ko servicing thik cha tara bill ali dherai huncha.,3,2/14/2024,code_mixed,1,1,transportation
Mitho chiya and snacks. Friendly environment.,4,8/17/2022,code_mixed,1,1,food
Keyboard keys stuck after 2 weeks. Not good product.,1,9/29/2023,english,0,0,product
Wait time dherai thyo tara food dami thyo.,4,6/21/2024,code_mixed,1,1,food
Food dami thyo tara service ali slow lagyo malai.,4,11/12/2023,code_mixed,1,1,food
The room was very clean and the staff was friendly.,5,1/5/2024,english,0,0,hotel_restaurant
"Pathao rider dherai fast thyo, kasto dar lagyo.",2,9/15/2022,romanized_nepali,1,1,transportation
Product ramro cha tara delivery huna 1 week lagyo.,3,4/22/2023,code_mixed,1,1,product
"Internet support lastai jhyau cha, phone nai uthaudaina.",1,2/3/2025,code_mixed,1,2,services
Momo mitho cha tara achar ali kam bhayo.,4,8/19/2024,romanized_nepali,1,1,food
Paisa vasool experience! Best place to visit with family.,5,12/25/2023,code_mixed,1,1,hotel_restaurant
The laptop heating issue is still there after servicing.,2,5/10/2024,english,0,0,services
Indrive driver was polite. Safe ride and cheap fare.,5,11/30/2022,english,0,0,transportation
"Yo product kasto babbal cha, sabailai recommend garchu.",5,2/14/2024,romanized_nepali,1,1,product
Thakali set was average. Nothing special for the price.,3,7/8/2023,english,0,0,food
Room service slow thyo tara staff haru polite thie.,3,9/21/2024,code_mixed,0,0,hotel_restaurant
"Micro bus ma sit pauna lastai garo, dherai rush thyo.",2,1/12/2023,romanized_nepali,1,1,transportation
Beauty salon was clean and staff were very professional.,5,1/20/2025,english,0,0,services
Mobile case quality thik cha tara color ali change bhayecha.,3,8/5/2022,code_mixed,1,1,product
Khana mitho thyo tara waiting time 45 mins lagyo.,3,4/12/2024,romanized_nepali,1,1,food
The hotel was quite noisy at night. Couldn't sleep well.,2,10/30/2023,english,0,0,hotel_restaurant
"Bike servicing ramro bhayo, engine sound babbal aairacha.",5,11/5/2024,code_mixed,1,1,transportation
Ordered a pizza and it was cold. Worst experience.,1,3/18/2022,english,0,0,food
"Gym ko environment dami cha, instructors are helpful.",5,6/30/2024,code_mixed,1,1,services
Size ali thulo vayo tara exchange garna jhyau lagyo.,3,2/28/2023,romanized_nepali,1,1,product
Resort was beautiful. Staffs were dami and polite.,5,2/1/2025,code_mixed,1,1,hotel_restaurant
Pathao fare is too high during rain. Not fair.,2,8/14/2023,english,0,0,transportation
Internet speed is babbal today. Hopefully it stays like this.,5,12/10/2024,code_mixed,1,1,services
Burger thik thak thyo tara sauce ali kam vayo.,3,5/22/2022,romanized_nepali,1,1,food
The watch is genuine. Battery life is also good.,5,7/3/2024,english,0,0,product
"Hotel ko location ramro thiyo, view dami dekhine.",4,9/17/2023,romanized_nepali,1,1,hotel_restaurant
Taxi le meter ma jana mane na. Lastai jhyau.,1,12/1/2022,romanized_nepali,1,2,transportation
Banking service is so slow. Line was very long.,2,1/25/2024,english,0,0,services
"Chicken roast lastai kado thyo, khana sakiye na.",1,6/12/2023,romanized_nepali,1,1,food
Screen protector was easy to apply. Good quality.,5,3/30/2024,english,0,0,product
Room clean thyo tara AC le sound dherai nikalira thyo.,3,11/14/2023,code_mixed,1,1,hotel_restaurant
Rider was polite and followed all traffic rules.,5,7/19/2022,english,0,0,transportation
"Courier service fast aayo, packing pani ramro thiyo.",5,10/2/2024,romanized_nepali,1,1,services
Momo was juicy and tasty. Paisa vasool deal.,5,4/5/2023,code_mixed,1,1,food
The shoes started peeling off after 3 months.,2,2/14/2022,english,0,0,product
Check-in was quick. Room was kasto ramailo and warm.,5,12/15/2024,code_mixed,1,1,hotel_restaurant
Micro ride during morning is a nightmare. Too crowded.,1,5/18/2023,english,0,0,transportation
ISP connection is not stable at all. Very annoying.,1,8/27/2024,english,0,0,services
"Coffee kasto mitho, perfect for a rainy day.",5,6/10/2022,romanized_nepali,1,1,food
"Momo kasto mitho thiyo, jhol achar chai ali dherai piro bhayecha.",4,5/12/2024,romanized_nepali,1,1,food
The laptop bag is durable. Enough space for charger and mouse too.,5,11/19/2023,english,0,0,product
"Pathao rider was safe. Helmet pani clean thiyo, good service.",5,8/4/2022,code_mixed,1,1,transportation
Internet speed lastai jhyau cha aajkal. Support lai phone garda uthaudaina.,1,2/28/2024,romanized_nepali,1,2,services
Stay was comfortable but breakfast menu ali limited lagyo.,3,1/10/2025,code_mixed,0,0,hotel_restaurant
"Biryani kasto oily thiyo, taste pani khasai ramro chaina.",2,6/15/2023,romanized_nepali,1,1,food
The trimmer stopped working after two months. Not worth the money.,1,9/2/2024,english,0,0,product
InDrive rider arrived on time. Polite behavior and safe driving.,5,3/22/2023,english,0,0,transportation
Bank ko staff haru dherai slow cha. Line ma ghantau basnu parcha.,2,12/5/2022,code_mixed,0,0,services
Paisa vasool experience. Pool was clean and room was babbal.,5,7/14/2024,code_mixed,1,2,hotel_restaurant
"Chiya kasto mitho thiyo, thau pani kasto ramailo.",5,5/20/2023,romanized_nepali,1,2,food
Bluetooth speaker sounds dami. Battery lasts for long hours.,5,11/1/2024,code_mixed,1,1,product
"Micro bus dherai khacho thiyo, saas ferna pani garo vayo.",1,8/30/2023,romanized_nepali,0,0,transportation
The dentist was very professional. Minimal pain during the procedure.,5,4/18/2024,english,0,0,services
Dinner was okay but price dherai mahango lagyo malai.,3,10/25/2022,code_mixed,0,0,hotel_restaurant
Keema noodles lastai spicy thiyo. Piro khana nasakne lai garo huncha.,4,2/14/2023,romanized_nepali,1,1,food
Phone case color faded in just a week. Poor quality.,2,6/10/2024,english,0,0,product
"Taxi driver le meter ma jana mane na, dherai bargaining garyo.",2,9/5/2023,romanized_nepali,0,0,transportation
Courier support team is very helpful. Parcel reached on time.,5,7/28/2022,english,0,0,services
Staff haru friendly thie tara checkout process lastai slow thyo.,3,12/25/2024,code_mixed,1,1,hotel_restaurant
"Burger thik thak thiyo, potato wedges chai dami.",4,1/15/2023,code_mixed,1,1,food
